id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.05,0.0,0.2478735,0.1556415,0.2848525,0.2599465,0.015273221,0.24591702,0.17336215,0,0
1,0.057,0.0,0.2478735,0.1556415,0.28895113,0.26283586,0.015273221,0.24591702,0.17336215,0,0
2,0.075,0.0,0.2478735,0.1556415,0.29304972,0.26572526,0.015273221,0.24591702,0.17336215,0,0
3,0.092,0.0,0.2478735,0.1556415,0.29714832,0.26861462,0.015273221,0.24591702,0.17336215,0,0
4,0.107,0.0,0.2478735,0.1556415,0.3012469,0.27150398,0.015273221,0.24591702,0.17336215,0,0
5,0.125,0.0,0.2478735,0.1556415,0.30534554,0.27439335,0.015273221,0.24591702,0.17336215,0,0
6,0.141,0.0,0.2478735,0.1556415,0.30944413,0.2772827,0.015273221,0.24591702,0.17336215,0,0
7,0.157,0.0,0.2478735,0.1556415,0.31354272,0.28220147,0.015273221,0.24591702,-0.17336215,0,0
8,0.174,0.0,0.2478735,0.1556415,0.31764132,0.2793121,0.015273221,0.24591702,-0.17336215,0,0
9,0.191,0.0,0.2478735,0.1556415,0.32173994,0.27642274,0.015273221,0.24591702,-0.17336215,0,0
10,0.207,0.0,0.2478735,0.1556415,0.32583854,0.27353337,0.015273221,0.24591702,-0.17336215,0,0
11,0.224,0.0,0.2478735,0.1556415,0.32993713,0.27064398,0.015273221,0.24591702,-0.17336215,0,0
12,0.241,0.0,0.2478735,0.1556415,0.33403572,0.2677546,0.015273221,0.24591702,-0.17336215,0,0
13,0.259,0.0,0.2478735,0.1561905,0.33813435,0.26486525,0.015273221,0.24591702,-0.17336215,0,0
14,0.274,0.0,0.248148,0.1561905,0.34223294,0.26197588,0.015273221,0.24591702,-0.17336215,0,0
15,0.291,0.0,0.248148,0.1561905,0.34633154,0.25908652,0.015273221,0.24591702,-0.17336215,0,0
16,0.307,0.0,0.248148,0.1567395,0.35043013,0.25619715,0.015273221,0.24591702,-0.17336215,0,0
17,0.324,0.0,0.24897149,0.1578375,0.35452873,0.25330776,0.015273221,0.24591702,-0.17336215,0,0
18,0.341,0.0,0.2511675,0.1600335,0.35862735,0.2504184,0.015273221,0.24591702,-0.17336215,0,0
19,0.359,0.0,0.255285,0.1627785,0.36272594,0.24752903,0.015273221,0.24591702,-0.17336215,0,0
20,0.374,0.0,0.260775,0.1660725,0.36682454,0.24463966,0.015273221,0.24591702,-0.17336215,0,0
21,0.391,0.0,0.26736298,0.1693665,0.37092313,0.24175029,0.015273221,0.24591702,-0.17336215,0,0
22,0.407,0.0,0.276147,0.17238599,0.37502176,0.23886092,0.015273221,0.24591702,-0.17336215,0,0
23,0.425,0.0,0.284382,0.17458199,0.37912035,0.23597156,0.015273221,0.24591702,-0.17336215,0,0
24,0.441,0.0,0.292617,0.17595449,0.38321894,0.23308218,0.015273221,0.24591702,-0.17336215,0,0
25,0.459,0.0,0.30030298,0.176778,0.38731754,0.23019281,0.015273221,0.24591702,-0.17336215,0,0
26,0.476,0.0,0.307989,0.176778,0.39141616,0.22730343,0.015273221,0.24591702,-0.17336215,0,0
27,0.493,0.0,0.3148515,0.17568,0.39551476,0.22441407,0.015273221,0.24591702,-0.17336215,0,0
28,0.507,0.0,0.32336098,0.174033,0.39961335,0.2215247,0.015273221,0.24591702,-0.17336215,0,0
29,0.524,0.0,0.3335175,0.171837,0.40371194,0.21863532,0.015273221,0.24591702,-0.17336215,0,0
30,0.541,0.0,0.3461445,0.17018999,0.40781057,0.21574596,0.015273221,0.24591702,-0.17336215,0,0
31,0.557,0.0,0.3631635,0.167994,0.41190916,0.21285659,0.015273221,0.24591702,-0.17336215,0,0
32,0.576,0.0,0.3823785,0.166347,0.41600776,0.20996721,0.015273221,0.24591702,-0.17336215,0,0
33,0.591,0.0,0.401868,0.1660725,0.42010635,0.20707785,0.015273221,0.24591702,-0.17336215,0,0
34,0.608,0.0,0.41724,0.165798,0.42420495,0.20418847,0.015273221,0.24591702,-0.17336215,0,0
35,0.625,0.0,0.427671,0.165798,0.42830357,0.2012991,0.015273221,0.24591702,-0.17336215,0,0
36,0.641,0.0,0.4334355,0.166347,0.43240216,0.19840974,0.015273221,0.24591702,-0.17336215,0,0
37,0.659,0.0,0.434259,0.16662149,0.43650076,0.19552036,0.015273221,0.24591702,-0.17336215,0,0
38,0.674,0.0,0.4339845,0.16662149,0.44059935,0.19263099,0.015273221,0.24591702,-0.17336215,0,0
39,0.691,0.0,0.431514,0.1671705,0.44469798,0.18974163,0.015273221,0.24591702,-0.17336215,0,0
40,0.707,0.0,0.42657298,0.1671705,0.44879657,0.18685225,0.015273221,0.24591702,-0.17336215,0,0
41,0.724,0.0,0.42135748,0.166896,0.45289516,0.18396288,0.015273221,0.24591702,-0.17336215,0,0
42,0.741,0.0,0.416691,0.166347,0.45699376,0.18107352,0.015273221,0.24591702,-0.17336215,0,0
43,0.757,0.0,0.4120245,0.16524899,0.46109238,0.17818414,0.015273221,0.24591702,-0.17336215,0,0
44,0.774,0.0,0.408456,0.164151,0.46519098,0.17529477,0.015273221,0.24591702,-0.17336215,0,0
45,0.791,0.0,0.405711,0.1633275,0.46928957,0.17240539,0.015273221,0.24591702,-0.17336215,0,0
46,0.807,0.0,0.4032405,0.162504,0.47338817,0.16951603,0.015273221,0.24591702,-0.17336215,0,0
