id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.052,0.0,0.3933585,0.24897149,0.2849942,0.16361238,0.023973104,-0.16468051,0.2188558,0,0
1,0.06,0.0,0.37496698,0.24705,0.28224957,0.16725998,0.023973104,-0.16468051,0.2188558,0,0
2,0.077,0.0,0.37139848,0.2467755,0.27950487,0.17090757,0.023973104,-0.16468051,0.2188558,0,0
3,0.093,0.0,0.360144,0.24622649,0.2767602,0.17455517,0.023973104,-0.16468051,0.2188558,0,0
4,0.111,0.0,0.350811,0.2451285,0.27401552,0.17820276,0.023973104,-0.16468051,0.2188558,0,0
5,0.127,0.0,0.338184,0.2429325,0.27127084,0.18185036,0.023973104,-0.16468051,0.2188558,0,0
6,0.143,0.0,0.3263805,0.24128549,0.26852614,0.18549797,0.023973104,-0.16468051,0.2188558,0,0
7,0.16,0.0,0.3159495,0.2401875,0.26578146,0.18914557,0.023973104,-0.16468051,0.2188558,0,0
8,0.177,0.0,0.305244,0.2401875,0.2630368,0.19279316,0.023973104,-0.16468051,0.2188558,0,0
9,0.193,0.0,0.291519,0.2401875,0.2602921,0.19644076,0.023973104,-0.16468051,0.2188558,0,0
10,0.21,0.0,0.2802645,0.24046199,0.25754744,0.20008835,0.023973104,-0.16468051,0.2188558,0,0
11,0.227,0.0,0.2692845,0.2407365,0.25480273,0.20373595,0.023973104,-0.16468051,0.2188558,0,0
12,0.244,0.0,0.2577555,0.2407365,0.25205806,0.20738354,0.023973104,-0.16468051,0.2188558,0,0
13,0.263,0.0,0.249246,0.2407365,0.24931338,0.21103114,0.023973104,-0.16468051,0.2188558,0,0
14,0.278,0.0,0.242109,0.24183449,0.2465687,0.21467873,0.023973104,-0.16468051,0.2188558,0,0
15,0.293,0.0,0.23908949,0.243207,0.24382402,0.21832633,0.023973104,-0.16468051,0.2188558,0,0
16,0.31,0.0,0.2385405,0.243756,0.24107933,0.22197393,0.023973104,-0.16468051,0.2188558,0,0
17,0.326,0.0,0.2385405,0.24156,0.23833466,0.22562152,0.023973104,-0.16468051,0.2188558,0,0
18,0.346,0.0,0.2385405,0.2341485,0.23558997,0.22926912,0.023973104,-0.16468051,0.2188558,0,0
19,0.36,0.0,0.2379915,0.2237175,0.23284529,0.23291671,0.023973104,-0.16468051,0.2188558,0,0
20,0.377,0.0,0.236619,0.21905099,0.2301006,0.23656431,0.023973104,-0.16468051,0.2188558,0,0
21,0.393,0.0,0.2335995,0.21411,0.22735593,0.2402119,0.023973104,-0.16468051,0.2188558,0,0
22,0.413,0.0,0.2303055,0.2099925,0.22461125,0.2438595,0.023973104,-0.16468051,0.2188558,0,0
23,0.429,0.0,0.22756049,0.208071,0.22186656,0.2475071,0.023973104,-0.16468051,0.2188558,0,0
24,0.444,0.0,0.22618799,0.2077965,0.21912189,0.2511547,0.023973104,-0.16468051,0.2188558,0,0
