id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.058,0.0,0.2901465,0.143289,0.48117587,0.2490578,0.013731297,0.11044097,-0.020903349,0,0
1,0.068,0.0,0.29097,0.1413675,0.48301655,0.24870941,0.013731297,0.11044097,-0.020903349,0,0
2,0.085,0.0,0.29097,0.141093,0.48485723,0.24836102,0.013731297,0.11044097,-0.020903349,0,0
3,0.102,0.0,0.29097,0.141093,0.4866979,0.24801263,0.013731297,0.11044097,-0.020903349,0,0
4,0.12,0.0,0.29097,0.140544,0.4885386,0.24766426,0.013731297,0.11044097,-0.020903349,0,0
5,0.137,0.0,0.29097,0.140544,0.49037927,0.24731587,0.013731297,0.11044097,-0.020903349,0,0
6,0.153,0.0,0.29097,0.140544,0.49221995,0.24696748,0.013731297,0.11044097,-0.020903349,0,0
7,0.169,0.0,0.29097,0.140544,0.4940606,0.24661909,0.013731297,0.11044097,-0.020903349,0,0
8,0.186,0.0,0.2912445,0.140544,0.4959013,0.24627072,0.013731297,0.11044097,-0.020903349,0,0
9,0.202,0.0,0.292068,0.14081849,0.49774197,0.24592233,0.013731297,0.11044097,-0.020903349,0,0
10,0.219,0.0,0.292068,0.14081849,0.49958265,0.24557394,0.013731297,0.11044097,-0.020903349,0,0
11,0.236,0.0,0.292068,0.14081849,0.50142336,0.24522555,0.013731297,0.11044097,-0.020903349,0,0
12,0.25,0.0,0.292068,0.14081849,0.503264,0.24487716,0.013731297,0.11044097,-0.020903349,0,0
13,0.269,0.0,0.292068,0.14081849,0.50510466,0.24452879,0.013731297,0.11044097,-0.020903349,0,0
14,0.286,0.0,0.292068,0.14081849,0.5069454,0.2441804,0.013731297,0.11044097,-0.020903349,0,0
15,0.301,0.0,0.29234248,0.14081849,0.508786,0.243832,0.013731297,0.11044097,-0.020903349,0,0
16,0.318,0.0,0.293715,0.1413675,0.51062673,0.24348362,0.013731297,0.11044097,-0.020903349,0,0
17,0.335,0.0,0.297009,0.14301449,0.51414996,0.24313524,0.013731297,-0.11044097,-0.020903349,0,0
18,0.351,0.0,0.3005775,0.1446615,0.5123093,0.24278685,0.013731297,-0.11044097,-0.020903349,0,0
19,0.368,0.0,0.3099105,0.149877,0.5104686,0.24243847,0.013731297,-0.11044097,-0.020903349,0,0
20,0.385,0.0,0.3263805,0.156465,0.50862795,0.24209008,0.013731297,-0.11044097,-0.020903349,0,0
21,0.401,0.0,0.346968,0.164151,0.5067873,0.24174169,0.013731297,-0.11044097,-0.020903349,0,0
22,0.418,0.0,0.365085,0.1704645,0.5049466,0.24139331,0.013731297,-0.11044097,-0.020903349,0,0
23,0.434,0.0,0.3801825,0.175131,0.50310594,0.24104492,0.013731297,-0.11044097,-0.020903349,0,0
