id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.055,0.0,0.3022245,0.1704645,0.46605837,0.040999994,0.010299663,0.26437905,0.014507026,0,0
1,0.062,0.0,0.3027735,0.1660725,0.47046468,0.041241776,0.010299663,0.26437905,0.014507026,0,0
2,0.079,0.0,0.30304798,0.16524899,0.47487098,0.04148356,0.010299663,0.26437905,0.014507026,0,0
3,0.096,0.0,0.303597,0.163602,0.47927728,0.041725345,0.010299663,0.26437905,0.014507026,0,0
4,0.113,0.0,0.30387148,0.1627785,0.4836836,0.041967127,0.010299663,0.26437905,0.014507026,0,0
5,0.13,0.0,0.304146,0.162504,0.48808992,0.04220891,0.010299663,0.26437905,0.014507026,0,0
6,0.146,0.0,0.304146,0.162504,0.49249622,0.042450693,0.010299663,0.26437905,0.014507026,0,0
7,0.163,0.0,0.304146,0.162504,0.49690253,0.04269248,0.010299663,0.26437905,0.014507026,0,0
8,0.179,0.0,0.304146,0.161955,0.50130886,0.04293426,0.010299663,0.26437905,0.014507026,0,0
9,0.196,0.0,0.303597,0.1611315,0.50571513,0.043176044,0.010299663,0.26437905,0.014507026,0,0
10,0.213,0.0,0.3033225,0.16085699,0.51012146,0.043417826,0.010299663,0.26437905,0.014507026,0,0
11,0.229,0.0,0.3033225,0.1605825,0.5189529,0.04365961,0.010299663,-0.26437905,0.014507026,0,0
12,0.247,0.0,0.3027735,0.160308,0.51454663,0.043901395,0.010299663,-0.26437905,0.014507026,0,0
13,0.264,0.0,0.3022245,0.15921,0.5101403,0.044143178,0.010299663,-0.26437905,0.014507026,0,0
14,0.281,0.0,0.3016755,0.1583865,0.505734,0.04438496,0.010299663,-0.26437905,0.014507026,0,0
15,0.297,0.0,0.30195,0.156465,0.5013277,0.044626743,0.010299663,-0.26437905,0.014507026,0,0
16,0.313,0.0,0.305793,0.1512495,0.4969214,0.04486853,0.010299663,-0.26437905,0.014507026,0,0
17,0.331,0.0,0.3137535,0.14301449,0.4925151,0.04511031,0.010299663,-0.26437905,0.014507026,0,0
18,0.347,0.0,0.325557,0.1331325,0.48810878,0.045352094,0.010299663,-0.26437905,0.014507026,0,0
19,0.364,0.0,0.3373605,0.124074,0.48370245,0.045593876,0.010299663,-0.26437905,0.014507026,0,0
20,0.381,0.0,0.3499875,0.117486,0.47929615,0.04583566,0.010299663,-0.26437905,0.014507026,0,0
21,0.397,0.0,0.3637125,0.1128195,0.47488984,0.046077445,0.010299663,-0.26437905,0.014507026,0,0
22,0.414,0.0,0.383202,0.107604,0.47048354,0.046319228,0.010299663,-0.26437905,0.014507026,0,0
23,0.431,0.0,0.398574,0.105408,0.46607724,0.04656101,0.010299663,-0.26437905,0.014507026,0,0
24,0.448,0.0,0.412848,0.10431,0.46167094,0.046802793,0.010299663,-0.26437905,0.014507026,0,0
25,0.463,0.0,0.4219065,0.1045845,0.45726463,0.047044575,0.010299663,-0.26437905,0.014507026,0,0
26,0.482,0.0,0.4252005,0.105133496,0.4528583,0.04728636,0.010299663,-0.26437905,0.014507026,0,0
