id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.054,0.0,0.3499875,0.1199565,0.25859776,0.13801584,0.022316085,-0.30520228,0.3527975,0,0
1,0.061,0.0,0.3499875,0.1199565,0.25351104,0.1438958,0.022316085,-0.30520228,0.3527975,0,0
2,0.081,0.0,0.3499875,0.1199565,0.24842434,0.14977576,0.022316085,-0.30520228,0.3527975,0,0
3,0.097,0.0,0.3499875,0.1199565,0.24333763,0.15565571,0.022316085,-0.30520228,0.3527975,0,0
4,0.114,0.0,0.3499875,0.1199565,0.23825091,0.16153565,0.022316085,-0.30520228,0.3527975,0,0
5,0.13,0.0,0.3499875,0.1199565,0.2331642,0.1674156,0.022316085,-0.30520228,0.3527975,0,0
6,0.148,0.0,0.3499875,0.1199565,0.2280775,0.17329556,0.022316085,-0.30520228,0.3527975,0,0
7,0.161,0.0,0.3499875,0.1199565,0.22299078,0.17917551,0.022316085,-0.30520228,0.3527975,0,0
8,0.182,0.0,0.3499875,0.1199565,0.21790408,0.18505546,0.022316085,-0.30520228,0.3527975,0,0
9,0.195,0.0,0.3499875,0.1199565,0.21281736,0.19093542,0.022316085,-0.30520228,0.3527975,0,0
10,0.216,0.0,0.3499875,0.1199565,0.20773065,0.19681537,0.022316085,-0.30520228,0.3527975,0,0
11,0.228,0.0,0.3499875,0.1199565,0.20264395,0.20269533,0.022316085,-0.30520228,0.3527975,0,0
12,0.248,0.0,0.3499875,0.1199565,0.19755723,0.20857528,0.022316085,-0.30520228,0.3527975,0,0
13,0.263,0.0,0.3499875,0.1199565,0.19247052,0.21445523,0.022316085,-0.30520228,0.3527975,0,0
14,0.281,0.0,0.3499875,0.1199565,0.18738382,0.22033519,0.022316085,-0.30520228,0.3527975,0,0
15,0.295,0.0,0.3499875,0.1199565,0.1822971,0.22621514,0.022316085,-0.30520228,0.3527975,0,0
16,0.312,0.0,0.34916398,0.120230995,0.17721039,0.23209509,0.022316085,-0.30520228,0.3527975,0,0
17,0.329,0.0,0.3477915,0.1205055,0.17212367,0.23797505,0.022316085,-0.30520228,0.3527975,0,0
18,0.345,0.0,0.3461445,0.1210545,0.16703697,0.243855,0.022316085,-0.30520228,0.3527975,0,0
19,0.361,0.0,0.343674,0.121878,0.16195026,0.24973495,0.022316085,-0.30520228,0.3527975,0,0
20,0.378,0.0,0.338733,0.124074,0.15686354,0.2556149,0.022316085,-0.30520228,0.3527975,0,0
21,0.395,0.0,0.329949,0.1270935,0.15177684,0.26149485,0.022316085,-0.30520228,0.3527975,0,0
22,0.411,0.0,0.3175965,0.1320345,0.14669013,0.2673748,0.022316085,-0.30520228,0.3527975,0,0
23,0.428,0.0,0.305244,0.136701,0.14160341,0.27503306,0.022316085,-0.30520228,-0.3527975,0,0
24,0.444,0.0,0.292068,0.1413675,0.1365167,0.2691531,0.022316085,-0.30520228,-0.3527975,0,0
25,0.461,0.0,0.2797155,0.14438699,0.13143001,0.26327315,0.022316085,-0.30520228,-0.3527975,0,0
26,0.478,0.0,0.2676375,0.14658299,0.12634331,0.25739318,0.022316085,-0.30520228,-0.3527975,0,0
27,0.495,0.0,0.25665748,0.14823,0.121256605,0.25151324,0.022316085,-0.30520228,-0.3527975,0,0
28,0.513,0.0,0.2473245,0.149877,0.1161699,0.24563327,0.022316085,-0.30520228,-0.3527975,0,0
29,0.529,0.0,0.2379915,0.152073,0.111083195,0.23975334,0.022316085,-0.30520228,-0.3527975,0,0
30,0.546,0.0,0.231678,0.1539945,0.1059965,0.23387338,0.022316085,-0.30520228,-0.3527975,0,0
31,0.562,0.0,0.2237175,0.1567395,0.10090979,0.22799343,0.022316085,-0.30520228,-0.3527975,0,0
32,0.579,0.0,0.2149335,0.160308,0.095823094,0.22211348,0.022316085,-0.30520228,-0.3527975,0,0
33,0.596,0.0,0.2077965,0.163602,0.09073639,0.21623352,0.022316085,-0.30520228,-0.3527975,0,0
