id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.05,0.0,0.2610495,0.1517985,0.19964655,0.24432775,0.014159472,-0.12687969,-0.3022187,0,0
1,0.059,0.0,0.2610495,0.1517985,0.19753188,0.23929076,0.014159472,-0.12687969,-0.3022187,0,0
2,0.076,0.0,0.2610495,0.1517985,0.19541723,0.23425378,0.014159472,-0.12687969,-0.3022187,0,0
3,0.095,0.0,0.2610495,0.1517985,0.19330257,0.2292168,0.014159472,-0.12687969,-0.3022187,0,0
4,0.111,0.0,0.2610495,0.1517985,0.1911879,0.2241798,0.014159472,-0.12687969,-0.3022187,0,0
5,0.126,0.0,0.2610495,0.1517985,0.18907325,0.21914282,0.014159472,-0.12687969,-0.3022187,0,0
6,0.143,0.0,0.2610495,0.1517985,0.1869586,0.21410584,0.014159472,-0.12687969,-0.3022187,0,0
7,0.162,0.0,0.2610495,0.1517985,0.18484393,0.20906885,0.014159472,-0.12687969,-0.3022187,0,0
8,0.177,0.0,0.2610495,0.1517985,0.18272927,0.20403187,0.014159472,-0.12687969,-0.3022187,0,0
9,0.193,0.0,0.2610495,0.1517985,0.18061462,0.19899489,0.014159472,-0.12687969,-0.3022187,0,0
10,0.21,0.0,0.2610495,0.1517985,0.17849995,0.19395791,0.014159472,-0.12687969,-0.3022187,0,0
11,0.227,0.0,0.2610495,0.1517985,0.1763853,0.18892092,0.014159472,-0.12687969,-0.3022187,0,0
12,0.244,0.0,0.2610495,0.1517985,0.17427064,0.18388394,0.014159472,-0.12687969,-0.3022187,0,0
13,0.262,0.0,0.2610495,0.1517985,0.17215598,0.17884696,0.014159472,-0.12687969,-0.3022187,0,0
14,0.278,0.0,0.2610495,0.1517985,0.17004132,0.17380996,0.014159472,-0.12687969,-0.3022187,0,0
15,0.295,0.0,0.260775,0.152073,0.16792667,0.16877298,0.014159472,-0.12687969,-0.3022187,0,0
16,0.311,0.0,0.26022598,0.152073,0.165812,0.163736,0.014159472,-0.12687969,-0.3022187,0,0
17,0.328,0.0,0.258579,0.153171,0.16369735,0.158699,0.014159472,-0.12687969,-0.3022187,0,0
18,0.345,0.0,0.25308898,0.1545435,0.1615827,0.15366203,0.014159472,-0.12687969,-0.3022187,0,0
19,0.361,0.0,0.234423,0.1545435,0.15946802,0.14862505,0.014159472,-0.12687969,-0.3022187,0,0
20,0.377,0.0,0.2165805,0.15371999,0.15735337,0.14358807,0.014159472,-0.12687969,-0.3022187,0,0
21,0.393,0.0,0.201483,0.153171,0.15523872,0.13855109,0.014159472,-0.12687969,-0.3022187,0,0
