set,trial,P,W_t,t_c,end_position,success,width,height,target_speed
0,1,1000.0,130.0,250.0,870.0,1,900,400,15.0
0,2,1000.0,130.0,250.0,825.0,1,900,400,15.0
0,3,1000.0,130.0,250.0,795.0,1,900,400,15.0
0,4,1000.0,130.0,250.0,795.0,1,900,400,15.0
0,5,1000.0,130.0,250.0,765.0,0,900,400,15.0
0,6,1000.0,130.0,250.0,660.0,0,900,400,15.0
0,7,1000.0,130.0,250.0,615.0,0,900,400,15.0
0,8,1000.0,130.0,250.0,705.0,0,900,400,15.0
0,9,1000.0,130.0,250.0,855.0,1,900,400,15.0
0,10,1000.0,130.0,250.0,870.0,1,900,400,15.0
0,11,1000.0,130.0,250.0,885.0,1,900,400,15.0
0,12,1000.0,130.0,250.0,0.0,0,900,400,15.0
0,13,1000.0,130.0,250.0,780.0,0,900,400,15.0
0,14,1000.0,130.0,250.0,735.0,0,900,400,15.0
0,15,1000.0,130.0,250.0,660.0,0,900,400,15.0
0,16,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,17,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,18,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,19,1000.0,130.0,250.0,0.0,0,900,400,15.0
0,20,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,21,1000.0,130.0,250.0,810.0,1,900,400,15.0
0,22,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,23,1000.0,130.0,250.0,840.0,1,900,400,15.0
0,24,1000.0,130.0,250.0,855.0,1,900,400,15.0
0,25,1000.0,130.0,250.0,825.0,1,900,400,15.0
0,26,1000.0,130.0,250.0,825.0,1,900,400,15.0
0,27,1000.0,130.0,250.0,795.0,1,900,400,15.0
0,28,1000.0,130.0,250.0,645.0,0,900,400,15.0
0,29,1000.0,130.0,250.0,615.0,0,900,400,15.0
0,30,1000.0,130.0,250.0,855.0,1,900,400,15.0
0,31,1000.0,130.0,250.0,0.0,0,900,400,15.0
0,32,1000.0,130.0,250.0,885.0,1,900,400,15.0
0,33,1000.0,130.0,250.0,0.0,0,900,400,15.0
0,34,1000.0,130.0,250.0,885.0,1,900,400,15.0
0,35,1000.0,130.0,250.0,855.0,1,900,400,15.0
0,36,1000.0,130.0,250.0,45.0,0,900,400,15.0
0,37,1000.0,130.0,250.0,840.0,1,900,400,15.0
