set,trial,P,W_t,t_c,end_position,success,width,height,target_speed
3,3,2000.0,130.0,80.0,802.5,0,900,400,7.5
3,4,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,5,2000.0,130.0,80.0,22.5,0,900,400,7.5
3,6,2000.0,130.0,80.0,22.5,0,900,400,7.5
3,7,2000.0,130.0,80.0,847.5,1,900,400,7.5
3,8,2000.0,130.0,80.0,7.5,0,900,400,7.5
3,9,2000.0,130.0,80.0,7.5,0,900,400,7.5
3,10,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,11,2000.0,130.0,80.0,855.0,1,900,400,7.5
3,12,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,13,2000.0,130.0,80.0,37.5,0,900,400,7.5
3,14,2000.0,130.0,80.0,855.0,1,900,400,7.5
3,15,2000.0,130.0,80.0,832.5,0,900,400,7.5
3,16,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,17,2000.0,130.0,80.0,0.0,0,900,400,7.5
3,18,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,19,2000.0,130.0,80.0,892.5,1,900,400,7.5
3,20,2000.0,130.0,80.0,877.5,1,900,400,7.5
3,21,2000.0,130.0,80.0,847.5,1,900,400,7.5
3,22,2000.0,130.0,80.0,810.0,0,900,400,7.5
3,23,2000.0,130.0,80.0,780.0,0,900,400,7.5
3,24,2000.0,130.0,80.0,720.0,0,900,400,7.5
3,25,2000.0,130.0,80.0,810.0,0,900,400,7.5
3,26,2000.0,130.0,80.0,840.0,0,900,400,7.5
3,27,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,28,2000.0,130.0,80.0,7.5,0,900,400,7.5
3,29,2000.0,130.0,80.0,840.0,0,900,400,7.5
3,30,2000.0,130.0,80.0,742.5,0,900,400,7.5
3,31,2000.0,130.0,80.0,832.5,0,900,400,7.5
3,32,2000.0,130.0,80.0,817.5,0,900,400,7.5
3,33,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,34,2000.0,130.0,80.0,37.5,0,900,400,7.5
3,35,2000.0,130.0,80.0,810.0,0,900,400,7.5
3,36,2000.0,130.0,80.0,30.0,0,900,400,7.5
3,37,2000.0,130.0,80.0,37.5,0,900,400,7.5
3,38,2000.0,130.0,80.0,30.0,0,900,400,7.5
3,39,2000.0,130.0,80.0,22.5,0,900,400,7.5
3,40,2000.0,130.0,80.0,0.0,0,900,400,7.5
3,41,2000.0,130.0,80.0,7.5,0,900,400,7.5
3,42,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,43,2000.0,130.0,80.0,37.5,0,900,400,7.5
3,44,2000.0,130.0,80.0,15.0,0,900,400,7.5
3,45,2000.0,130.0,80.0,697.5,0,900,400,7.5
3,46,2000.0,130.0,80.0,7.5,0,900,400,7.5
3,47,2000.0,130.0,80.0,30.0,0,900,400,7.5
3,48,2000.0,130.0,80.0,855.0,1,900,400,7.5
3,49,2000.0,130.0,80.0,817.5,0,900,400,7.5
3,50,2000.0,130.0,80.0,862.5,1,900,400,7.5
4,1,1000.0,80.0,80.0,142.5,0,900,400,15.0
4,2,1000.0,80.0,80.0,52.5,0,900,400,15.0
4,3,1000.0,80.0,80.0,727.5,0,900,400,15.0
4,4,1000.0,80.0,80.0,682.5,0,900,400,15.0
4,5,1000.0,80.0,80.0,802.5,0,900,400,15.0
4,6,1000.0,80.0,80.0,67.5,0,900,400,15.0
4,7,1000.0,80.0,80.0,52.5,0,900,400,15.0
4,8,1000.0,80.0,80.0,862.5,1,900,400,15.0
4,9,1000.0,80.0,80.0,7.5,0,900,400,15.0
4,10,1000.0,80.0,80.0,817.5,0,900,400,15.0
4,11,1000.0,80.0,80.0,757.5,0,900,400,15.0
4,12,1000.0,80.0,80.0,787.5,0,900,400,15.0
4,13,1000.0,80.0,80.0,817.5,0,900,400,15.0
4,14,1000.0,80.0,80.0,787.5,0,900,400,15.0
4,15,1000.0,80.0,80.0,7.5,0,900,400,15.0
4,16,1000.0,80.0,80.0,847.5,1,900,400,15.0
4,17,1000.0,80.0,80.0,52.5,0,900,400,15.0
4,18,1000.0,80.0,80.0,67.5,0,900,400,15.0
4,19,1000.0,80.0,80.0,877.5,1,900,400,15.0
4,20,1000.0,80.0,80.0,892.5,1,900,400,15.0
4,21,1000.0,80.0,80.0,832.5,1,900,400,15.0
4,22,1000.0,80.0,80.0,772.5,0,900,400,15.0
4,23,1000.0,80.0,80.0,637.5,0,900,400,15.0
4,24,1000.0,80.0,80.0,652.5,0,900,400,15.0
4,25,1000.0,80.0,80.0,652.5,0,900,400,15.0
4,26,1000.0,80.0,80.0,712.5,0,900,400,15.0
4,27,1000.0,80.0,80.0,607.5,0,900,400,15.0
4,28,1000.0,80.0,80.0,622.5,0,900,400,15.0
4,29,1000.0,80.0,80.0,667.5,0,900,400,15.0
4,30,1000.0,80.0,80.0,832.5,1,900,400,15.0
4,31,1000.0,80.0,80.0,67.5,0,900,400,15.0
4,32,1000.0,80.0,80.0,82.5,0,900,400,15.0
4,33,1000.0,80.0,80.0,787.5,0,900,400,15.0
4,34,1000.0,80.0,80.0,682.5,0,900,400,15.0
4,35,1000.0,80.0,80.0,727.5,0,900,400,15.0
4,36,1000.0,80.0,80.0,67.5,0,900,400,15.0
4,37,1000.0,80.0,80.0,22.5,0,900,400,15.0
4,38,1000.0,80.0,80.0,52.5,0,900,400,15.0
4,39,1000.0,80.0,80.0,22.5,0,900,400,15.0
4,40,1000.0,80.0,80.0,817.5,0,900,400,15.0
4,41,1000.0,80.0,80.0,832.5,1,900,400,15.0
4,42,1000.0,80.0,80.0,847.5,1,900,400,15.0
4,43,1000.0,80.0,80.0,742.5,0,900,400,15.0
4,44,1000.0,80.0,80.0,727.5,0,900,400,15.0
4,45,1000.0,80.0,80.0,742.5,0,900,400,15.0
4,46,1000.0,80.0,80.0,727.5,0,900,400,15.0
4,47,1000.0,80.0,80.0,667.5,0,900,400,15.0
4,48,1000.0,80.0,80.0,757.5,0,900,400,15.0
4,49,1000.0,80.0,80.0,862.5,1,900,400,15.0
4,50,1000.0,80.0,80.0,877.5,1,900,400,15.0
5,1,1000.0,130.0,0.0,97.5,0,900,400,15.0
5,2,1000.0,130.0,0.0,862.5,1,900,400,15.0
5,3,1000.0,130.0,0.0,607.5,0,900,400,15.0
5,4,1000.0,130.0,0.0,562.5,0,900,400,15.0
5,5,1000.0,130.0,0.0,727.5,0,900,400,15.0
5,6,1000.0,130.0,0.0,802.5,1,900,400,15.0
5,7,1000.0,130.0,0.0,877.5,1,900,400,15.0
5,8,1000.0,130.0,0.0,877.5,1,900,400,15.0
5,9,1000.0,130.0,0.0,862.5,1,900,400,15.0
5,10,1000.0,130.0,0.0,817.5,1,900,400,15.0
5,11,1000.0,130.0,0.0,787.5,1,900,400,15.0
5,12,1000.0,130.0,0.0,787.5,1,900,400,15.0
5,13,1000.0,130.0,0.0,712.5,0,900,400,15.0
5,14,1000.0,130.0,0.0,622.5,0,900,400,15.0
5,15,1000.0,130.0,0.0,622.5,0,900,400,15.0
5,16,1000.0,130.0,0.0,592.5,0,900,400,15.0
5,17,1000.0,130.0,0.0,562.5,0,900,400,15.0
5,18,1000.0,130.0,0.0,697.5,0,900,400,15.0
5,19,1000.0,130.0,0.0,682.5,0,900,400,15.0
5,20,1000.0,130.0,0.0,667.5,0,900,400,15.0
5,21,1000.0,130.0,0.0,607.5,0,900,400,15.0
5,22,1000.0,130.0,0.0,562.5,0,900,400,15.0
5,23,1000.0,130.0,0.0,502.5,0,900,400,15.0
5,24,1000.0,130.0,0.0,577.5,0,900,400,15.0
5,25,1000.0,130.0,0.0,757.5,0,900,400,15.0
5,26,1000.0,130.0,0.0,37.5,0,900,400,15.0
5,27,1000.0,130.0,0.0,802.5,1,900,400,15.0
5,28,1000.0,130.0,0.0,742.5,0,900,400,15.0
5,29,1000.0,130.0,0.0,652.5,0,900,400,15.0
5,30,1000.0,130.0,0.0,682.5,0,900,400,15.0
5,31,1000.0,130.0,0.0,607.5,0,900,400,15.0
5,32,1000.0,130.0,0.0,697.5,0,900,400,15.0
5,33,1000.0,130.0,0.0,22.5,0,900,400,15.0
5,34,1000.0,130.0,0.0,862.5,1,900,400,15.0
5,35,1000.0,130.0,0.0,847.5,1,900,400,15.0
5,36,1000.0,130.0,0.0,787.5,1,900,400,15.0
5,37,1000.0,130.0,0.0,742.5,0,900,400,15.0
5,38,1000.0,130.0,0.0,652.5,0,900,400,15.0
5,39,1000.0,130.0,0.0,652.5,0,900,400,15.0
5,40,1000.0,130.0,0.0,622.5,0,900,400,15.0
5,41,1000.0,130.0,0.0,667.5,0,900,400,15.0
5,42,1000.0,130.0,0.0,667.5,0,900,400,15.0
5,43,1000.0,130.0,0.0,652.5,0,900,400,15.0
5,44,1000.0,130.0,0.0,682.5,0,900,400,15.0
5,45,1000.0,130.0,0.0,802.5,1,900,400,15.0
5,46,1000.0,130.0,0.0,847.5,1,900,400,15.0
5,47,1000.0,130.0,0.0,802.5,1,900,400,15.0
5,48,1000.0,130.0,0.0,772.5,0,900,400,15.0
5,49,1000.0,130.0,0.0,772.5,0,900,400,15.0
