id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.051,0.0,0.269559,0.190503,0.50122565,0.17945825,0.023265135,-0.17728488,-0.16678524,0,0
1,0.059,0.0,0.269559,0.190503,0.4982709,0.1766785,0.023265135,-0.17728488,-0.16678524,0,0
2,0.076,0.0,0.269559,0.190503,0.49531615,0.17389874,0.023265135,-0.17728488,-0.16678524,0,0
3,0.092,0.0,0.269559,0.190503,0.49236137,0.171119,0.023265135,-0.17728488,-0.16678524,0,0
4,0.111,0.0,0.269559,0.190503,0.48940662,0.16833925,0.023265135,-0.17728488,-0.16678524,0,0
5,0.126,0.0,0.269559,0.190503,0.48645186,0.1655595,0.023265135,-0.17728488,-0.16678524,0,0
6,0.145,0.0,0.269559,0.190503,0.48349708,0.16277975,0.023265135,-0.17728488,-0.16678524,0,0
7,0.16,0.0,0.269559,0.190503,0.48054233,0.16000001,0.023265135,-0.17728488,-0.16678524,0,0
8,0.177,0.0,0.269559,0.190503,0.47758758,0.15722026,0.023265135,-0.17728488,-0.16678524,0,0
9,0.194,0.0,0.269559,0.190503,0.4746328,0.1544405,0.023265135,-0.17728488,-0.16678524,0,0
10,0.211,0.0,0.269559,0.190503,0.47167805,0.15166076,0.023265135,-0.17728488,-0.16678524,0,0
11,0.227,0.0,0.269559,0.190503,0.4687233,0.14888102,0.023265135,-0.17728488,-0.16678524,0,0
12,0.243,0.0,0.269559,0.190503,0.46576852,0.14610127,0.023265135,-0.17728488,-0.16678524,0,0
13,0.262,0.0,0.269559,0.190503,0.46281376,0.14332151,0.023265135,-0.17728488,-0.16678524,0,0
14,0.277,0.0,0.269559,0.190503,0.45985898,0.14054176,0.023265135,-0.17728488,-0.16678524,0,0
15,0.293,0.0,0.269559,0.190503,0.45690423,0.13776201,0.023265135,-0.17728488,-0.16678524,0,0
16,0.309,0.0,0.269559,0.190503,0.45394948,0.13498224,0.023265135,-0.17728488,-0.16678524,0,0
17,0.327,0.0,0.269559,0.190503,0.4509947,0.13220249,0.023265135,-0.17728488,-0.16678524,0,0
18,0.343,0.0,0.269559,0.190503,0.44803995,0.12942274,0.023265135,-0.17728488,-0.16678524,0,0
19,0.36,0.0,0.269559,0.190503,0.4450852,0.12664297,0.023265135,-0.17728488,-0.16678524,0,0
20,0.375,0.0,0.269559,0.190503,0.44213042,0.12386322,0.023265135,-0.17728488,-0.16678524,0,0
21,0.392,0.0,0.269559,0.190503,0.43917567,0.12108347,0.023265135,-0.17728488,-0.16678524,0,0
22,0.409,0.0,0.269559,0.190503,0.4362209,0.11830371,0.023265135,-0.17728488,-0.16678524,0,0
23,0.428,0.0,0.269559,0.190503,0.43326613,0.11552395,0.023265135,-0.17728488,-0.16678524,0,0
24,0.443,0.0,0.269559,0.190503,0.43031138,0.1127442,0.023265135,-0.17728488,-0.16678524,0,0
25,0.459,0.0,0.269559,0.1885815,0.42735663,0.10996444,0.023265135,-0.17728488,-0.16678524,0,0
26,0.476,0.0,0.2698335,0.182817,0.42440185,0.107184686,0.023265135,-0.17728488,-0.16678524,0,0
27,0.493,0.0,0.2714805,0.1748565,0.4214471,0.10440493,0.023265135,-0.17728488,-0.16678524,0,0
28,0.51,0.0,0.275049,0.1655235,0.41849232,0.101625174,0.023265135,-0.17728488,-0.16678524,0,0
29,0.526,0.0,0.2802645,0.1539945,0.41553757,0.098845415,0.023265135,-0.17728488,-0.16678524,0,0
30,0.542,0.0,0.284382,0.14438699,0.4125828,0.096065655,0.023265135,-0.17728488,-0.16678524,0,0
31,0.558,0.0,0.28959748,0.1331325,0.40962803,0.0932859,0.023265135,-0.17728488,-0.16678524,0,0
32,0.576,0.0,0.295362,0.121878,0.40667328,0.090506144,0.023265135,-0.17728488,-0.16678524,0,0
