id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.054,0.0,0.273951,0.16085699,0.29265413,0.15273015,0.013701515,0.32689732,0.3565082,0,0
1,0.063,0.0,0.273951,0.16085699,0.2981024,0.15867196,0.013701515,0.32689732,0.3565082,0,0
2,0.08,0.0,0.273951,0.16085699,0.3035507,0.16461377,0.013701515,0.32689732,0.3565082,0,0
3,0.1,0.0,0.273951,0.16085699,0.30899897,0.17055558,0.013701515,0.32689732,0.3565082,0,0
4,0.115,0.0,0.273951,0.16085699,0.31444725,0.17649738,0.013701515,0.32689732,0.3565082,0,0
5,0.131,0.0,0.273951,0.16085699,0.31989554,0.1824392,0.013701515,0.32689732,0.3565082,0,0
6,0.149,0.0,0.273951,0.16085699,0.32534382,0.188381,0.013701515,0.32689732,0.3565082,0,0
7,0.165,0.0,0.273951,0.16085699,0.3307921,0.19432281,0.013701515,0.32689732,0.3565082,0,0
8,0.18,0.0,0.273951,0.16085699,0.33624038,0.20026462,0.013701515,0.32689732,0.3565082,0,0
9,0.2,0.0,0.273951,0.16085699,0.34168866,0.20620643,0.013701515,0.32689732,0.3565082,0,0
10,0.215,0.0,0.273951,0.16085699,0.34713694,0.21214823,0.013701515,0.32689732,0.3565082,0,0
11,0.232,0.0,0.273951,0.16085699,0.35258523,0.21809004,0.013701515,0.32689732,0.3565082,0,0
12,0.249,0.0,0.273951,0.16085699,0.3580335,0.22403185,0.013701515,0.32689732,0.3565082,0,0
13,0.265,0.0,0.273951,0.16085699,0.3634818,0.22997366,0.013701515,0.32689732,0.3565082,0,0
14,0.282,0.0,0.273951,0.16085699,0.36893007,0.23591547,0.013701515,0.32689732,0.3565082,0,0
15,0.299,0.0,0.273951,0.16085699,0.37437835,0.24185728,0.013701515,0.32689732,0.3565082,0,0
16,0.317,0.0,0.273951,0.16085699,0.37982664,0.24779908,0.013701515,0.32689732,0.3565082,0,0
17,0.33,0.0,0.273951,0.16085699,0.38527492,0.2537409,0.013701515,0.32689732,0.3565082,0,0
18,0.349,0.0,0.273951,0.16085699,0.3907232,0.25968271,0.013701515,0.32689732,0.3565082,0,0
19,0.366,0.0,0.273951,0.16085699,0.39617148,0.26562452,0.013701515,0.32689732,0.3565082,0,0
20,0.38,0.0,0.273951,0.16085699,0.40161976,0.27156633,0.013701515,0.32689732,0.3565082,0,0
21,0.399,0.0,0.2742255,0.16085699,0.40706804,0.28800884,0.013701515,0.32689732,-0.3565082,0,0
22,0.413,0.0,0.2758725,0.1622295,0.41251633,0.28206703,0.013701515,0.32689732,-0.3565082,0,0
23,0.429,0.0,0.2775195,0.1633275,0.4179646,0.27612522,0.013701515,0.32689732,-0.3565082,0,0
24,0.449,0.0,0.2791665,0.16442549,0.4234129,0.2701834,0.013701515,0.32689732,-0.3565082,0,0
25,0.464,0.0,0.2813625,0.1660725,0.42886117,0.2642416,0.013701515,0.32689732,-0.3565082,0,0
26,0.48,0.0,0.2830095,0.1677195,0.43430945,0.2582998,0.013701515,0.32689732,-0.3565082,0,0
27,0.496,0.0,0.28520548,0.169641,0.43975773,0.252358,0.013701515,0.32689732,-0.3565082,0,0
28,0.515,0.0,0.2863035,0.170739,0.44520602,0.24641618,0.013701515,0.32689732,-0.3565082,0,0
29,0.532,0.0,0.2868525,0.171288,0.4506543,0.24047437,0.013701515,0.32689732,-0.3565082,0,0
30,0.55,0.0,0.287127,0.171288,0.45610258,0.23453256,0.013701515,0.32689732,-0.3565082,0,0
31,0.563,0.0,0.287127,0.171288,0.46155086,0.22859076,0.013701515,0.32689732,-0.3565082,0,0
32,0.581,0.0,0.287127,0.171288,0.46699914,0.22264895,0.013701515,0.32689732,-0.3565082,0,0
33,0.6,0.0,0.287127,0.171288,0.47244743,0.21670714,0.013701515,0.32689732,-0.3565082,0,0
34,0.617,0.0,0.287127,0.171288,0.4778957,0.21076533,0.013701515,0.32689732,-0.3565082,0,0
35,0.632,0.0,0.287127,0.171288,0.483344,0.20482352,0.013701515,0.32689732,-0.3565082,0,0
36,0.649,0.0,0.287127,0.171288,0.48879227,0.19888172,0.013701515,0.32689732,-0.3565082,0,0
37,0.666,0.0,0.287127,0.171288,0.49424055,0.1929399,0.013701515,0.32689732,-0.3565082,0,0
38,0.68,0.0,0.287127,0.171288,0.49968883,0.1869981,0.013701515,0.32689732,-0.3565082,0,0
39,0.697,0.0,0.287127,0.17101349,0.50513715,0.18105629,0.013701515,0.32689732,-0.3565082,0,0
40,0.714,0.0,0.2874015,0.17018999,0.5160915,0.17511448,0.013701515,-0.32689732,-0.3565082,0,0
41,0.731,0.0,0.287676,0.169641,0.51064324,0.16917267,0.013701515,-0.32689732,-0.3565082,0,0
42,0.749,0.0,0.288225,0.16881749,0.50519496,0.16323087,0.013701515,-0.32689732,-0.3565082,0,0
43,0.764,0.0,0.288225,0.1682685,0.4997467,0.15728904,0.013701515,-0.32689732,-0.3565082,0,0
44,0.783,0.0,0.288225,0.1677195,0.49429843,0.15134723,0.013701515,-0.32689732,-0.3565082,0,0
45,0.798,0.0,0.288225,0.1677195,0.48885015,0.14540543,0.013701515,-0.32689732,-0.3565082,0,0
46,0.815,0.0,0.288225,0.1671705,0.48340186,0.13946363,0.013701515,-0.32689732,-0.3565082,0,0
47,0.833,0.0,0.288225,0.1671705,0.47795358,0.13352183,0.013701515,-0.32689732,-0.3565082,0,0
48,0.849,0.0,0.288225,0.1671705,0.4725053,0.12758003,0.013701515,-0.32689732,-0.3565082,0,0
49,0.865,0.0,0.288225,0.1671705,0.46705702,0.12163823,0.013701515,-0.32689732,-0.3565082,0,0
50,0.883,0.0,0.288225,0.1671705,0.46160874,0.11569643,0.013701515,-0.32689732,-0.3565082,0,0
51,0.899,0.0,0.288225,0.1671705,0.45616046,0.10975463,0.013701515,-0.32689732,-0.3565082,0,0
52,0.915,0.0,0.288225,0.1671705,0.45071217,0.10381283,0.013701515,-0.32689732,-0.3565082,0,0
53,0.933,0.0,0.288225,0.1671705,0.4452639,0.09787103,0.013701515,-0.32689732,-0.3565082,0,0
54,0.947,0.0,0.288225,0.1671705,0.4398156,0.09192923,0.013701515,-0.32689732,-0.3565082,0,0
55,0.965,0.0,0.2879505,0.16662149,0.43436733,0.08598743,0.013701515,-0.32689732,-0.3565082,0,0
56,0.98,0.0,0.2874015,0.166347,0.42891905,0.080045626,0.013701515,-0.32689732,-0.3565082,0,0
57,0.997,0.0,0.287127,0.1660725,0.42347077,0.074103825,0.013701515,-0.32689732,-0.3565082,0,0
58,1.013,0.0,0.286578,0.16524899,0.41802248,0.06816202,0.013701515,-0.32689732,-0.3565082,0,0
59,1.03,0.0,0.2863035,0.16442549,0.4125742,0.062220212,0.013701515,-0.32689732,-0.3565082,0,0
60,1.047,0.0,0.28548,0.1627785,0.40712592,0.056278408,0.013701515,-0.32689732,-0.3565082,0,0
61,1.063,0.0,0.284382,0.159759,0.40167764,0.050336603,0.013701515,-0.32689732,-0.3565082,0,0
62,1.08,0.0,0.282735,0.156465,0.39622936,0.0443948,0.013701515,-0.32689732,-0.3565082,0,0
63,1.096,0.0,0.281088,0.1528965,0.39078107,0.038452994,0.013701515,-0.32689732,-0.3565082,0,0
64,1.114,0.0,0.27889198,0.14877899,0.3853328,0.032511193,0.013701515,-0.32689732,-0.3565082,0,0
65,1.13,0.0,0.2769705,0.143838,0.3798845,0.026569389,0.013701515,-0.32689732,-0.3565082,0,0
66,1.147,0.0,0.275049,0.13944599,0.37443623,0.020627586,0.013701515,-0.32689732,-0.3565082,0,0
67,1.165,0.0,0.273402,0.1364265,0.36898795,0.012717248,0.013701515,-0.32689732,0.3565082,0,0
68,1.18,0.0,0.2720295,0.1342305,0.36353967,0.018659052,0.013701515,-0.32689732,0.3565082,0,0
69,1.2,0.0,0.27093148,0.132858,0.35809138,0.024600854,0.013701515,-0.32689732,0.3565082,0,0
70,1.215,0.0,0.2703825,0.1325835,0.3526431,0.030542657,0.013701515,-0.32689732,0.3565082,0,0
71,1.233,0.0,0.2703825,0.1325835,0.34719482,0.03648446,0.013701515,-0.32689732,0.3565082,0,0
72,1.249,0.0,0.2703825,0.1325835,0.34174654,0.042426266,0.013701515,-0.32689732,0.3565082,0,0
73,1.266,0.0,0.2703825,0.1325835,0.33629826,0.04836807,0.013701515,-0.32689732,0.3565082,0,0
74,1.282,0.0,0.2703825,0.1325835,0.33084998,0.054309875,0.013701515,-0.32689732,0.3565082,0,0
75,1.297,0.0,0.2703825,0.1325835,0.3254017,0.06025168,0.013701515,-0.32689732,0.3565082,0,0
76,1.314,0.0,0.2698335,0.132858,0.3199534,0.066193484,0.013701515,-0.32689732,0.3565082,0,0
77,1.33,0.0,0.2687355,0.133407,0.31450513,0.072135285,0.013701515,-0.32689732,0.3565082,0,0
78,1.346,0.0,0.266265,0.13505399,0.30905685,0.078077085,0.013701515,-0.32689732,0.3565082,0,0
79,1.363,0.0,0.2632455,0.136701,0.30360857,0.084018886,0.013701515,-0.32689732,0.3565082,0,0
80,1.38,0.0,0.2599515,0.138348,0.29816028,0.08996069,0.013701515,-0.32689732,0.3565082,0,0
81,1.397,0.0,0.25665748,0.13944599,0.292712,0.09590249,0.013701515,-0.32689732,0.3565082,0,0
82,1.414,0.0,0.2533635,0.140544,0.28726372,0.10184429,0.013701515,-0.32689732,0.3565082,0,0
83,1.43,0.0,0.250344,0.1424655,0.28181544,0.10778609,0.013701515,-0.32689732,0.3565082,0,0
84,1.447,0.0,0.248148,0.1441125,0.27636716,0.11372789,0.013701515,-0.32689732,0.3565082,0,0
85,1.466,0.0,0.24622649,0.146034,0.27091888,0.11966969,0.013701515,-0.32689732,0.3565082,0,0
