completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
615.0,0,35,12,-105,-105,375,435,385,434,387,435,-2,-1
465.0,1,235,262,-105,-105,375,435,578,446,637,435,-59,11
849.0,2,34,12,-105,-105,375,435,390,438,387,435,3,3
1534.0,3,83,69,105,105,585,645,675,647,654,645,21,2
883.0,4,4,12,105,105,585,645,595,648,597,645,-2,3
683.0,5,304,462,-105,105,375,645,757,638,837,645,-80,-7
800.0,6,6,12,105,105,585,645,601,643,597,645,4,-2
600.0,7,7,12,105,105,585,645,602,648,597,645,5,3
485.0,8,64,33,-105,105,375,645,418,645,408,645,10,0
585.0,9,297,462,105,-105,585,435,943,404,1047,435,-104,-31
516.0,10,280,462,105,105,585,645,1035,623,1047,645,-12,-22
300.0,11,158,119,-105,-105,375,435,501,432,494,435,7,-3
668.0,12,316,462,-105,-105,375,435,753,435,837,435,-84,0
683.0,13,234,262,-105,-105,375,435,658,431,637,435,21,-4
619.0,14,13,12,105,-105,585,435,593,436,597,435,-4,1
699.0,15,15,12,105,-105,585,435,597,435,597,435,0,0
2299.0,16,128,119,105,105,585,645,704,653,704,645,0,8
600.0,17,17,12,105,-105,585,435,593,434,597,435,-4,-1
700.0,18,170,183,105,-105,585,435,758,434,768,435,-10,-1
516.0,19,41,33,105,105,585,645,624,651,618,645,6,6
714.0,20,349,583,-105,105,375,645,857,635,958,645,-101,-10
799.0,21,225,262,-105,105,375,645,665,648,637,645,28,3
469.0,22,91,69,105,-105,585,435,677,421,654,435,23,-14
999.0,23,23,12,-105,105,375,645,386,644,387,645,-1,-1
751.0,24,326,583,105,105,585,645,1102,645,1168,645,-66,0
600.0,25,98,69,105,-105,585,435,678,441,654,435,24,6
517.0,26,159,119,-105,-105,375,435,514,434,494,435,20,-1
680.0,27,133,119,105,-105,585,435,758,438,704,435,54,3
533.0,28,321,583,105,105,585,645,1143,651,1168,645,-25,6
702.0,29,312,462,-105,-105,375,435,771,427,837,435,-66,-8
933.0,30,293,462,105,-105,585,435,1022,431,1047,435,-25,-4
802.0,31,31,12,-105,-105,375,435,391,435,387,435,4,0
569.0,32,66,33,-105,105,375,645,413,647,408,645,5,2
881.0,33,147,119,-105,105,375,645,506,648,494,645,12,3
832.0,34,216,262,105,-105,585,435,901,427,847,435,54,-8
1465.0,35,16,12,105,-105,585,435,592,436,597,435,-5,1
616.0,36,262,355,-105,105,375,645,723,672,730,645,-7,27
850.0,37,160,183,105,105,585,645,846,669,768,645,78,24
599.0,38,103,69,-105,105,375,645,460,650,444,645,16,5
683.0,39,357,583,-105,-105,375,435,855,435,958,435,-103,0
635.0,40,40,33,105,105,585,645,615,649,618,645,-3,4
703.0,41,209,262,105,105,585,645,816,651,847,645,-31,6
617.0,42,42,33,105,105,585,645,608,646,618,645,-10,1
