completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
567.0,211,141,119,-105,105,375,645,509,650,494,645,15,5
217.0,212,29,12,-105,105,375,645,391,643,387,645,4,-2
700.0,213,301,462,-105,105,375,645,783,655,837,645,-54,10
585.0,214,214,262,105,-105,585,435,816,433,847,435,-31,-2
617.0,215,354,583,-105,-105,375,435,864,436,958,435,-94,1
601.0,216,89,69,105,105,585,645,680,650,654,645,26,5
536.0,217,106,69,-105,105,375,645,449,642,444,645,5,-3
567.0,218,278,355,-105,-105,375,435,745,433,730,435,15,-2
466.0,219,133,119,105,-105,585,435,708,437,704,435,4,2
201.0,220,24,12,-105,105,375,645,383,645,387,645,-4,0
616.0,221,221,262,-105,105,375,645,620,643,637,645,-17,-2
519.0,222,242,355,105,105,585,645,923,646,940,645,-17,1
468.0,223,158,119,-105,-105,375,435,495,438,494,435,1,3
516.0,224,224,262,-105,105,375,645,636,646,637,645,-1,1
218.0,225,8,12,105,105,585,645,593,647,597,645,-4,2
500.0,226,137,119,105,-105,585,435,706,439,704,435,2,4
582.0,227,249,355,105,105,585,645,923,655,940,645,-17,10
601.0,228,228,262,-105,105,375,645,671,647,637,645,34,2
584.0,229,205,262,105,105,585,645,776,651,847,645,-71,6
233.0,230,1,12,105,105,585,645,601,644,597,645,4,-1
419.0,231,192,183,-105,-105,375,435,549,431,558,435,-9,-4
502.0,232,232,262,-105,-105,375,435,615,440,637,435,-22,5
367.0,233,65,33,-105,105,375,645,413,649,408,645,5,4
618.0,234,279,355,-105,-105,375,435,678,429,730,435,-52,-6
682.0,235,341,583,-105,105,375,645,876,596,958,645,-82,-49
301.0,236,83,69,105,105,585,645,660,646,654,645,6,1
601.0,237,193,183,-105,-105,375,435,526,430,558,435,-32,-5
184.0,238,7,12,105,105,585,645,598,648,597,645,1,3
616.0,239,163,183,105,105,585,645,790,650,768,645,22,5
648.0,240,259,355,105,-105,585,435,831,441,940,435,-109,6
934.0,241,286,462,105,105,585,645,979,619,1047,645,-68,-26
568.0,242,222,262,-105,105,375,645,661,648,637,645,24,3
1016.0,243,314,462,-105,-105,375,435,858,522,837,435,21,87
436.0,244,174,183,105,-105,585,435,771,440,768,435,3,5
450.0,245,260,355,-105,105,375,645,725,631,730,645,-5,-14
301.0,246,144,119,-105,105,375,645,515,651,494,645,21,6
184.0,247,117,69,-105,-105,375,435,441,435,444,435,-3,0
317.0,248,257,355,105,-105,585,435,1038,440,940,435,98,5
330.0,249,73,33,-105,-105,375,435,404,437,408,435,-4,2
168.0,250,2,12,105,105,585,645,598,644,597,645,1,-1
217.0,251,78,33,-105,-105,375,435,412,437,408,435,4,2
316.0,252,185,183,-105,105,375,645,541,652,558,645,-17,7
531.0,253,313,462,-105,-105,375,435,835,454,837,435,-2,19
600.0,254,254,355,105,-105,585,435,891,440,940,435,-49,5
284.0,255,270,355,-105,-105,375,435,713,430,730,435,-17,-5
620.0,256,240,355,105,105,585,645,898,655,940,645,-42,10
766.0,257,231,262,-105,-105,375,435,678,440,637,435,41,5
