completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
237.0,0,65,33,-105,105,375,645,412,650,408,645,4,5
234.0,1,108,69,-105,105,375,645,453,649,444,645,9,4
234.0,2,56,33,105,-105,585,435,621,436,618,435,3,1
266.0,3,166,183,105,105,585,645,792,663,768,645,24,18
200.0,4,130,119,105,-105,585,435,697,436,704,435,-7,1
148.0,5,64,33,-105,105,375,645,419,655,408,645,11,10
202.0,6,221,262,-105,105,375,645,641,658,637,645,4,13
166.0,7,157,119,-105,-105,375,435,509,444,494,435,15,9
284.0,8,113,69,-105,-105,375,435,461,434,444,435,17,-1
149.0,9,9,12,105,105,585,645,600,648,597,645,3,3
584.0,10,296,462,105,-105,585,435,1012,449,1047,435,-35,14
133.0,11,68,33,-105,105,375,645,420,646,408,645,12,1
131.0,12,12,12,105,-105,585,435,594,436,597,435,-3,1
199.0,13,159,119,-105,-105,375,435,501,445,494,435,7,10
117.0,14,4,12,105,105,585,645,594,645,597,645,-3,0
370.0,15,287,462,105,105,585,645,1033,685,1047,645,-14,40
167.0,16,105,69,-105,105,375,645,462,651,444,645,18,6
250.0,17,172,183,105,-105,585,435,760,440,768,435,-8,5
583.0,18,280,462,105,105,585,645,1072,649,1047,645,25,4
202.0,19,28,12,-105,105,375,645,385,646,387,645,-2,1
349.0,20,284,462,105,105,585,645,1059,671,1047,645,12,26
216.0,21,152,119,-105,-105,375,435,503,439,494,435,9,4
186.0,22,119,69,-105,-105,375,435,450,434,444,435,6,-1
166.0,23,134,119,105,-105,585,435,718,438,704,435,14,3
152.0,24,24,12,-105,105,375,645,389,647,387,645,2,2
633.0,25,294,462,105,-105,585,435,1046,449,1047,435,-1,14
551.0,26,8,12,105,105,585,645,593,645,597,645,-4,0
234.0,27,182,183,-105,105,375,645,549,646,558,645,-9,1
183.0,28,27,12,-105,105,375,645,390,646,387,645,3,1
217.0,29,45,33,105,105,585,645,630,641,618,645,12,-4
152.0,30,33,12,-105,-105,375,435,390,435,387,435,3,0
