completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
650.0,0,0,12,105,105,585,645,598,648,597,645,1,3
1535.0,1,1,12,105,105,585,645,602,648,597,645,5,3
1599.0,2,2,12,105,105,585,645,598,649,597,645,1,4
1051.0,3,97,69,105,-105,585,435,670,438,654,435,16,3
2334.0,4,4,12,105,105,585,645,593,648,597,645,-4,3
1284.0,5,354,583,-105,-105,375,435,884,443,958,435,-74,8
1319.0,6,197,183,-105,-105,375,435,615,439,558,435,57,4
1083.0,7,66,33,-105,105,375,645,414,643,408,645,6,-2
750.0,8,8,12,105,105,585,645,601,648,597,645,4,3
2302.0,9,339,583,105,-105,585,435,1078,436,1168,435,-90,1
1234.0,10,146,119,-105,105,375,645,514,658,494,645,20,13
934.0,11,19,12,105,-105,585,435,602,432,597,435,5,-3
1285.0,12,174,183,105,-105,585,435,758,434,768,435,-10,-1
1052.0,13,180,183,-105,105,375,645,558,649,558,645,0,4
850.0,14,159,119,-105,-105,375,435,484,432,494,435,-10,-3
1535.0,15,322,583,105,105,585,645,1115,648,1168,645,-53,3
780.0,16,173,183,105,-105,585,435,782,436,768,435,14,1
1102.0,17,318,462,-105,-105,375,435,759,434,837,435,-78,-1
1250.0,18,355,583,-105,-105,375,435,961,442,958,435,3,7
850.0,19,20,12,-105,105,375,645,391,644,387,645,4,-1
1183.0,20,65,33,-105,105,375,645,423,646,408,645,15,1
1201.0,21,260,355,-105,105,375,645,625,649,730,645,-105,4
1316.0,22,71,33,-105,-105,375,435,412,433,408,435,4,-2
1151.0,23,128,119,105,105,585,645,714,648,704,645,10,3
4183.0,24,310,462,-105,-105,375,435,695,432,837,435,-142,-3
3049.0,25,250,355,105,-105,585,435,883,428,940,435,-57,-7
1333.0,26,137,119,105,-105,585,435,745,440,704,435,41,5
1150.0,27,93,69,105,-105,585,435,666,435,654,435,12,0
1501.0,28,226,262,-105,105,375,645,697,645,637,645,60,0
783.0,29,30,12,-105,-105,375,435,385,437,387,435,-2,2
798.0,30,114,69,-105,-105,375,435,443,437,444,435,-1,2
934.0,31,136,119,105,-105,585,435,675,433,704,435,-29,-2
2799.0,32,358,583,-105,-105,375,435,998,422,958,435,40,-13
1015.0,33,33,12,-105,-105,375,435,386,439,387,435,-1,4
1033.0,34,34,12,-105,-105,375,435,387,437,387,435,0,2
1133.0,35,112,69,-105,-105,375,435,464,435,444,435,20,0
1117.0,36,210,262,105,-105,585,435,841,437,847,435,-6,2
2715.0,37,80,69,105,105,585,645,655,641,654,645,1,-4
1833.0,38,127,119,105,105,585,645,737,632,704,645,33,-13
967.0,39,7,12,105,105,585,645,600,645,597,645,3,0
751.0,40,153,119,-105,-105,375,435,495,441,494,435,1,6
1050.0,41,59,33,105,-105,585,435,608,437,618,435,-10,2
750.0,42,116,69,-105,-105,375,435,437,435,444,435,-7,0
6635.0,43,205,262,105,105,585,645,732,645,847,645,-115,0
832.0,44,90,69,105,-105,585,435,634,442,654,435,-20,7
582.0,45,45,33,105,105,585,645,626,651,618,645,8,6
833.0,46,46,33,105,105,585,645,615,645,618,645,-3,0
