completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
634.0,0,315,462,-105,-105,375,435,830,443,837,435,-7,8
635.0,1,343,583,-105,105,375,645,958,651,958,645,0,6
832.0,2,2,12,105,105,585,645,597,643,597,645,0,-2
734.0,3,162,183,105,105,585,645,783,646,768,645,15,1
534.0,4,4,12,105,105,585,645,593,646,597,645,-4,1
666.0,5,134,119,105,-105,585,435,684,432,704,435,-20,-3
770.0,6,52,33,105,-105,585,435,608,430,618,435,-10,-5
818.0,7,51,33,105,-105,585,435,609,435,618,435,-9,0
467.0,8,8,12,105,105,585,645,599,646,597,645,2,1
549.0,9,129,119,105,105,585,645,697,656,704,645,-7,11
617.0,10,276,355,-105,-105,375,435,636,429,730,435,-94,-6
452.0,11,33,12,-105,-105,375,435,382,432,387,435,-5,-3
500.0,12,12,12,105,-105,585,435,602,434,597,435,5,-1
601.0,13,249,355,105,105,585,645,868,649,940,645,-72,4
433.0,14,15,12,105,-105,585,435,595,433,597,435,-2,-2
550.0,15,42,33,105,105,585,645,622,645,618,645,4,0
567.0,16,266,355,-105,105,375,645,679,646,730,645,-51,1
600.0,17,324,583,105,105,585,645,1105,655,1168,645,-63,10
482.0,18,136,119,105,-105,585,435,724,425,704,435,20,-10
585.0,19,282,462,105,105,585,645,998,652,1047,645,-49,7
534.0,20,283,462,105,105,585,645,1026,652,1047,645,-21,7
484.0,21,274,355,-105,-105,375,435,710,440,730,435,-20,5
502.0,22,347,583,-105,105,375,645,820,644,958,645,-138,-1
401.0,23,20,12,-105,105,375,645,384,647,387,645,-3,2
516.0,24,59,33,105,-105,585,435,611,435,618,435,-7,0
485.0,25,220,262,-105,105,375,645,644,649,637,645,7,4
419.0,26,201,262,105,105,585,645,828,656,847,645,-19,11
433.0,27,27,12,-105,105,375,645,389,645,387,645,2,0
652.0,28,180,183,-105,105,375,645,503,643,558,645,-55,-2
499.0,29,154,119,-105,-105,375,435,475,426,494,435,-19,-9
467.0,30,76,33,-105,-105,375,435,402,434,408,435,-6,-1
550.0,31,332,583,105,-105,585,435,1192,434,1168,435,24,-1
532.0,32,126,119,105,105,585,645,734,646,704,645,30,1
434.0,33,188,183,-105,105,375,645,536,664,558,645,-22,19
449.0,34,290,462,105,-105,585,435,955,435,1047,435,-92,0
449.0,35,22,12,-105,105,375,645,388,641,387,645,1,-4
849.0,36,67,33,-105,105,375,645,415,648,408,645,7,3
534.0,37,349,583,-105,105,375,645,768,655,958,645,-190,10
451.0,38,287,462,105,105,585,645,1024,648,1047,645,-23,3
598.0,39,350,583,-105,-105,375,435,918,443,958,435,-40,8
533.0,40,342,583,-105,105,375,645,916,637,958,645,-42,-8
485.0,41,70,33,-105,-105,375,435,407,439,408,435,-1,4
482.0,42,148,119,-105,105,375,645,538,660,494,645,44,15
449.0,43,268,355,-105,105,375,645,721,636,730,645,-9,-9
517.0,44,44,33,105,105,585,645,608,644,618,645,-10,-1
419.0,45,272,355,-105,-105,375,435,649,421,730,435,-81,-14
553.0,46,307,462,-105,105,375,645,732,632,837,645,-105,-13
467.0,47,284,462,105,105,585,645,974,631,1047,645,-73,-14
534.0,48,97,69,105,-105,585,435,669,430,654,435,15,-5
386.0,49,251,355,105,-105,585,435,939,426,940,435,-1,-9
401.0,50,10,12,105,-105,585,435,593,438,597,435,-4,3
450.0,51,252,355,105,-105,585,435,911,426,940,435,-29,-9
366.0,52,35,12,-105,-105,375,435,387,430,387,435,0,-5
598.0,53,356,583,-105,-105,375,435,963,460,958,435,5,25
1000.0,54,303,462,-105,105,375,645,826,636,837,645,-11,-9
534.0,55,55,33,105,-105,585,435,614,435,618,435,-4,0
551.0,56,109,69,-105,105,375,645,448,643,444,645,4,-2
583.0,57,293,462,105,-105,585,435,1001,432,1047,435,-46,-3
500.0,58,111,69,-105,-105,375,435,445,429,444,435,1,-6
466.0,59,351,583,-105,-105,375,435,944,431,958,435,-14,-4
385.0,60,169,183,105,105,585,645,764,634,768,645,-4,-11
583.0,61,229,262,-105,105,375,645,552,646,637,645,-85,1
568.0,62,89,69,105,105,585,645,649,641,654,645,-5,-4
466.0,63,308,462,-105,105,375,645,733,644,837,645,-104,-1
617.0,64,64,33,-105,105,375,645,403,644,408,645,-5,-1
549.0,65,65,33,-105,105,375,645,418,643,408,645,10,-2
434.0,66,39,12,-105,-105,375,435,385,433,387,435,-2,-2
414.0,67,306,462,-105,105,375,645,729,642,837,645,-108,-3
520.0,68,278,355,-105,-105,375,435,698,431,730,435,-32,-4
835.0,69,170,183,105,-105,585,435,720,430,768,435,-48,-5
483.0,70,243,355,105,105,585,645,849,648,940,645,-91,3
568.0,71,341,583,-105,105,375,645,872,655,958,645,-86,10
449.0,72,226,262,-105,105,375,645,655,646,637,645,18,1
382.0,73,253,355,105,-105,585,435,905,416,940,435,-35,-19
333.0,74,191,183,-105,-105,375,435,548,421,558,435,-10,-14
336.0,75,189,183,-105,105,375,645,575,651,558,645,17,6
332.0,76,84,69,105,105,585,645,674,648,654,645,20,3
336.0,77,345,583,-105,105,375,645,936,649,958,645,-22,4
452.0,78,312,462,-105,-105,375,435,783,438,837,435,-54,3
319.0,79,11,12,105,-105,585,435,600,434,597,435,3,-1
503.0,80,123,119,105,105,585,645,730,643,704,645,26,-2
902.0,81,50,33,105,-105,585,435,618,438,618,435,0,3
616.0,82,101,69,-105,105,375,645,463,637,444,645,19,-8
384.0,83,96,69,105,-105,585,435,648,430,654,435,-6,-5
453.0,84,168,183,105,105,585,645,757,647,768,645,-11,2
436.0,85,85,69,105,105,585,645,652,642,654,645,-2,-3
667.0,86,285,462,105,105,585,645,907,648,1047,645,-140,3
451.0,87,196,183,-105,-105,375,435,582,434,558,435,24,-1
1102.0,88,1,12,105,105,585,645,596,644,597,645,-1,-1
652.0,89,71,33,-105,-105,375,435,397,434,408,435,-11,-1
597.0,90,319,462,-105,-105,375,435,710,431,837,435,-127,-4
468.0,91,166,183,105,105,585,645,762,650,768,645,-6,5
450.0,92,311,462,-105,-105,375,435,738,439,837,435,-99,4
567.0,93,56,33,105,-105,585,435,632,438,618,435,14,3
900.0,94,348,583,-105,105,375,645,809,665,958,645,-149,20
352.0,95,232,262,-105,-105,375,435,595,424,637,435,-42,-11
518.0,96,28,12,-105,105,375,645,384,641,387,645,-3,-4
349.0,97,115,69,-105,-105,375,435,442,430,444,435,-2,-5
300.0,98,83,69,105,105,585,645,666,648,654,645,12,3
551.0,99,43,33,105,105,585,645,626,647,618,645,8,2
916.0,100,165,183,105,105,585,645,823,641,768,645,55,-4
768.0,101,75,33,-105,-105,375,435,404,436,408,435,-4,1
500.0,102,102,69,-105,105,375,645,454,648,444,645,10,3
518.0,103,206,262,105,105,585,645,876,652,847,645,29,7
385.0,104,175,183,105,-105,585,435,772,449,768,435,4,14
466.0,105,241,355,105,105,585,645,860,648,940,645,-80,3
383.0,106,106,69,-105,105,375,645,467,654,444,645,23,9
287.0,107,58,33,105,-105,585,435,611,435,618,435,-7,0
200.0,108,38,12,-105,-105,375,435,384,436,387,435,-3,1
1485.0,109,93,69,105,-105,585,435,637,438,654,435,-17,3
400.0,110,271,355,-105,-105,375,435,620,441,730,435,-110,6
369.0,111,81,69,105,105,585,645,642,650,654,645,-12,5
416.0,112,47,33,105,105,585,645,630,652,618,645,12,7
417.0,113,248,355,105,105,585,645,890,639,940,645,-50,-6
351.0,114,300,462,-105,105,375,645,742,650,837,645,-95,5
350.0,115,354,583,-105,-105,375,435,821,417,958,435,-137,-18
2135.0,116,219,262,105,-105,585,435,847,432,847,435,0,-3
1319.0,117,238,262,-105,-105,375,435,662,428,637,435,25,-7
899.0,118,60,33,-105,105,375,645,410,641,408,645,2,-4
649.0,119,205,262,105,105,585,645,894,635,847,645,47,-10
587.0,120,125,119,105,105,585,645,723,644,704,645,19,-1
