time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_x,cursor_y,target_x,target_y
427.0,0,93,512,100,100,580,640,-283,1,1092,640
610.0,0,93,69,105,-105,585,435,747,572,654,435
632.0,0,93,69,105,-105,585,435,750,570,654,435
648.0,0,93,69,105,-105,585,435,753,566,654,435
667.0,0,93,69,105,-105,585,435,754,566,654,435
682.0,0,93,69,105,-105,585,435,756,565,654,435
699.0,0,93,69,105,-105,585,435,756,564,654,435
715.0,0,93,69,105,-105,585,435,756,564,654,435
732.0,0,93,69,105,-105,585,435,757,564,654,435
749.0,0,93,69,105,-105,585,435,757,564,654,435
766.0,0,93,69,105,-105,585,435,757,564,654,435
782.0,0,93,69,105,-105,585,435,757,564,654,435
798.0,0,93,69,105,-105,585,435,757,564,654,435
816.0,0,93,69,105,-105,585,435,757,564,654,435
832.0,0,93,69,105,-105,585,435,757,564,654,435
849.0,0,93,69,105,-105,585,435,757,564,654,435
866.0,0,93,69,105,-105,585,435,757,564,654,435
882.0,0,93,69,105,-105,585,435,757,564,654,435
899.0,0,93,69,105,-105,585,435,757,564,654,435
915.0,0,93,69,105,-105,585,435,757,564,654,435
933.0,0,93,69,105,-105,585,435,757,564,654,435
950.0,0,93,69,105,-105,585,435,757,564,654,435
965.0,0,93,69,105,-105,585,435,757,564,654,435
982.0,0,93,69,105,-105,585,435,757,564,654,435
999.0,0,93,69,105,-105,585,435,757,564,654,435
1016.0,0,93,69,105,-105,585,435,757,564,654,435
1032.0,0,93,69,105,-105,585,435,757,564,654,435
1048.0,0,93,69,105,-105,585,435,757,564,654,435
1067.0,0,93,69,105,-105,585,435,757,564,654,435
1083.0,0,93,69,105,-105,585,435,757,564,654,435
1099.0,0,93,69,105,-105,585,435,757,564,654,435
1116.0,0,93,69,105,-105,585,435,757,564,654,435
1132.0,0,93,69,105,-105,585,435,757,564,654,435
1149.0,0,93,69,105,-105,585,435,757,564,654,435
1166.0,0,93,69,105,-105,585,435,757,564,654,435
1182.0,0,93,69,105,-105,585,435,757,564,654,435
1199.0,0,93,69,105,-105,585,435,757,564,654,435
1216.0,0,93,69,105,-105,585,435,757,564,654,435
1233.0,0,93,69,105,-105,585,435,757,564,654,435
1249.0,0,93,69,105,-105,585,435,757,564,654,435
1266.0,0,93,69,105,-105,585,435,757,564,654,435
1282.0,0,93,69,105,-105,585,435,757,564,654,435
1299.0,0,93,69,105,-105,585,435,757,564,654,435
1315.0,0,93,69,105,-105,585,435,757,564,654,435
1332.0,0,93,69,105,-105,585,435,757,564,654,435
1349.0,0,93,69,105,-105,585,435,757,564,654,435
1365.0,0,93,69,105,-105,585,435,757,564,654,435
1382.0,0,93,69,105,-105,585,435,757,564,654,435
1399.0,0,93,69,105,-105,585,435,757,564,654,435
1416.0,0,93,69,105,-105,585,435,757,564,654,435
1432.0,0,93,69,105,-105,585,435,757,564,654,435
1449.0,0,93,69,105,-105,585,435,757,564,654,435
1465.0,0,93,69,105,-105,585,435,757,564,654,435
1483.0,0,93,69,105,-105,585,435,757,564,654,435
1499.0,0,93,69,105,-105,585,435,757,564,654,435
1516.0,0,93,69,105,-105,585,435,757,564,654,435
1532.0,0,93,69,105,-105,585,435,757,564,654,435
1549.0,0,93,69,105,-105,585,435,757,564,654,435
1565.0,0,93,69,105,-105,585,435,757,564,654,435
1583.0,0,93,69,105,-105,585,435,757,564,654,435
1599.0,0,93,69,105,-105,585,435,757,564,654,435
1616.0,0,93,69,105,-105,585,435,757,564,654,435
1632.0,0,93,69,105,-105,585,435,757,564,654,435
1649.0,0,93,69,105,-105,585,435,757,564,654,435
1665.0,0,93,69,105,-105,585,435,757,564,654,435
1683.0,0,93,69,105,-105,585,435,757,564,654,435
1699.0,0,93,69,105,-105,585,435,757,564,654,435
1716.0,0,93,69,105,-105,585,435,757,564,654,435
1736.0,0,93,69,105,-105,585,435,757,564,654,435
1749.0,0,93,69,105,-105,585,435,757,564,654,435
1765.0,0,93,69,105,-105,585,435,757,564,654,435
1784.0,0,93,69,105,-105,585,435,757,564,654,435
1799.0,0,93,69,105,-105,585,435,757,564,654,435
1816.0,0,93,69,105,-105,585,435,757,564,654,435
1832.0,0,93,69,105,-105,585,435,757,564,654,435
1850.0,0,93,69,105,-105,585,435,757,564,654,435
1866.0,0,93,69,105,-105,585,435,757,564,654,435
1883.0,0,93,69,105,-105,585,435,757,564,654,435
1899.0,0,93,69,105,-105,585,435,757,564,654,435
1915.0,0,93,69,105,-105,585,435,757,564,654,435
1933.0,0,93,69,105,-105,585,435,757,564,654,435
1949.0,0,93,69,105,-105,585,435,757,564,654,435
1966.0,0,93,69,105,-105,585,435,757,564,654,435
1983.0,0,93,69,105,-105,585,435,757,564,654,435
1999.0,0,93,69,105,-105,585,435,757,564,654,435
2016.0,0,93,69,105,-105,585,435,757,564,654,435
2032.0,0,93,69,105,-105,585,435,757,564,654,435
2049.0,0,93,69,105,-105,585,435,757,564,654,435
2065.0,0,93,69,105,-105,585,435,757,564,654,435
2083.0,0,93,69,105,-105,585,435,757,564,654,435
2099.0,0,93,69,105,-105,585,435,757,564,654,435
2115.0,0,93,69,105,-105,585,435,757,564,654,435
2133.0,0,93,69,105,-105,585,435,757,564,654,435
2149.0,0,93,69,105,-105,585,435,757,564,654,435
2166.0,0,93,69,105,-105,585,435,757,564,654,435
2182.0,0,93,69,105,-105,585,435,757,564,654,435
2199.0,0,93,69,105,-105,585,435,757,564,654,435
2215.0,0,93,69,105,-105,585,435,757,564,654,435
2233.0,0,93,69,105,-105,585,435,757,564,654,435
2249.0,0,93,69,105,-105,585,435,757,564,654,435
2266.0,0,93,69,105,-105,585,435,757,564,654,435
2282.0,0,93,69,105,-105,585,435,757,564,654,435
2300.0,0,93,69,105,-105,585,435,757,564,654,435
2317.0,0,93,69,105,-105,585,435,757,564,654,435
2332.0,0,93,69,105,-105,585,435,757,564,654,435
2349.0,0,93,69,105,-105,585,435,757,564,654,435
2366.0,0,93,69,105,-105,585,435,757,564,654,435
2382.0,0,93,69,105,-105,585,435,757,564,654,435
2399.0,0,93,69,105,-105,585,435,757,564,654,435
2416.0,0,93,69,105,-105,585,435,757,564,654,435
2432.0,0,93,69,105,-105,585,435,757,564,654,435
2450.0,0,93,69,105,-105,585,435,757,564,654,435
2465.0,0,93,69,105,-105,585,435,757,564,654,435
2483.0,0,93,69,105,-105,585,435,757,564,654,435
2499.0,0,93,69,105,-105,585,435,757,564,654,435
2517.0,0,93,69,105,-105,585,435,757,564,654,435
2532.0,0,93,69,105,-105,585,435,757,564,654,435
2549.0,0,93,69,105,-105,585,435,757,564,654,435
2566.0,0,93,69,105,-105,585,435,757,564,654,435
2582.0,0,93,69,105,-105,585,435,757,564,654,435
2599.0,0,93,69,105,-105,585,435,757,564,654,435
2616.0,0,93,69,105,-105,585,435,757,564,654,435
2631.0,0,93,69,105,-105,585,435,757,564,654,435
2649.0,0,93,69,105,-105,585,435,757,564,654,435
2668.0,0,93,69,105,-105,585,435,757,564,654,435
2683.0,0,93,69,105,-105,585,435,757,564,654,435
2699.0,0,93,69,105,-105,585,435,757,564,654,435
2719.0,0,93,69,105,-105,585,435,757,564,654,435
2732.0,0,93,69,105,-105,585,435,757,564,654,435
2748.0,0,93,69,105,-105,585,435,757,564,654,435
2766.0,0,93,69,105,-105,585,435,757,564,654,435
2782.0,0,93,69,105,-105,585,435,757,564,654,435
2799.0,0,93,69,105,-105,585,435,757,564,654,435
2816.0,0,93,69,105,-105,585,435,757,564,654,435
2833.0,0,93,69,105,-105,585,435,757,564,654,435
2849.0,0,93,69,105,-105,585,435,757,564,654,435
2866.0,0,93,69,105,-105,585,435,757,564,654,435
2883.0,0,93,69,105,-105,585,435,757,564,654,435
2899.0,0,93,69,105,-105,585,435,757,564,654,435
2919.0,0,93,69,105,-105,585,435,757,564,654,435
2933.0,0,93,69,105,-105,585,435,757,564,654,435
2950.0,0,93,69,105,-105,585,435,757,564,654,435
2968.0,0,93,69,105,-105,585,435,757,564,654,435
2984.0,0,93,69,105,-105,585,435,757,564,654,435
2998.0,0,93,69,105,-105,585,435,757,564,654,435
3015.0,0,93,69,105,-105,585,435,757,564,654,435
3033.0,0,93,69,105,-105,585,435,757,564,654,435
3049.0,0,93,69,105,-105,585,435,757,564,654,435
3066.0,0,93,69,105,-105,585,435,757,564,654,435
3082.0,0,93,69,105,-105,585,435,757,564,654,435
3099.0,0,93,69,105,-105,585,435,757,564,654,435
3115.0,0,93,69,105,-105,585,435,757,564,654,435
3133.0,0,93,69,105,-105,585,435,757,564,654,435
3149.0,0,93,69,105,-105,585,435,757,564,654,435
3166.0,0,93,69,105,-105,585,435,757,564,654,435
3182.0,0,93,69,105,-105,585,435,757,564,654,435
3199.0,0,93,69,105,-105,585,435,757,564,654,435
3215.0,0,93,69,105,-105,585,435,757,564,654,435
3233.0,0,93,69,105,-105,585,435,757,564,654,435
3249.0,0,93,69,105,-105,585,435,757,564,654,435
3265.0,0,93,69,105,-105,585,435,757,564,654,435
3282.0,0,93,69,105,-105,585,435,757,564,654,435
3299.0,0,93,69,105,-105,585,435,757,564,654,435
3317.0,0,93,69,105,-105,585,435,757,564,654,435
3331.0,0,93,69,105,-105,585,435,757,564,654,435
3349.0,0,93,69,105,-105,585,435,757,564,654,435
3365.0,0,93,69,105,-105,585,435,757,564,654,435
3382.0,0,93,69,105,-105,585,435,757,564,654,435
3399.0,0,93,69,105,-105,585,435,757,564,654,435
3415.0,0,93,69,105,-105,585,435,757,564,654,435
3433.0,0,93,69,105,-105,585,435,757,564,654,435
3449.0,0,93,69,105,-105,585,435,757,564,654,435
3465.0,0,93,69,105,-105,585,435,757,564,654,435
3483.0,0,93,69,105,-105,585,435,757,564,654,435
3499.0,0,93,69,105,-105,585,435,757,564,654,435
3516.0,0,93,69,105,-105,585,435,757,564,654,435
3533.0,0,93,69,105,-105,585,435,757,564,654,435
3549.0,0,93,69,105,-105,585,435,757,564,654,435
3567.0,0,93,69,105,-105,585,435,757,564,654,435
3582.0,0,93,69,105,-105,585,435,757,564,654,435
3599.0,0,93,69,105,-105,585,435,757,564,654,435
3615.0,0,93,69,105,-105,585,435,757,564,654,435
3633.0,0,93,69,105,-105,585,435,757,564,654,435
3649.0,0,93,69,105,-105,585,435,757,564,654,435
3667.0,0,93,69,105,-105,585,435,757,564,654,435
3683.0,0,93,69,105,-105,585,435,757,564,654,435
3699.0,0,93,69,105,-105,585,435,757,564,654,435
3717.0,0,93,69,105,-105,585,435,757,564,654,435
3732.0,0,93,69,105,-105,585,435,757,564,654,435
3749.0,0,93,69,105,-105,585,435,757,564,654,435
3765.0,0,93,69,105,-105,585,435,757,564,654,435
3783.0,0,93,69,105,-105,585,435,757,564,654,435
3799.0,0,93,69,105,-105,585,435,757,564,654,435
3816.0,0,93,69,105,-105,585,435,757,564,654,435
3832.0,0,93,69,105,-105,585,435,757,564,654,435
3849.0,0,93,69,105,-105,585,435,757,564,654,435
3865.0,0,93,69,105,-105,585,435,757,564,654,435
3882.0,0,93,69,105,-105,585,435,757,564,654,435
3900.0,0,93,69,105,-105,585,435,757,564,654,435
3916.0,0,93,69,105,-105,585,435,757,564,654,435
3933.0,0,93,69,105,-105,585,435,757,564,654,435
3952.0,0,93,69,105,-105,585,435,757,564,654,435
3965.0,0,93,69,105,-105,585,435,757,564,654,435
3982.0,0,93,69,105,-105,585,435,757,564,654,435
3999.0,0,93,69,105,-105,585,435,757,564,654,435
4015.0,0,93,69,105,-105,585,435,757,564,654,435
4033.0,0,93,69,105,-105,585,435,757,564,654,435
4049.0,0,93,69,105,-105,585,435,757,564,654,435
4066.0,0,93,69,105,-105,585,435,757,564,654,435
4082.0,0,93,69,105,-105,585,435,757,564,654,435
4102.0,0,93,69,105,-105,585,435,757,564,654,435
4116.0,0,93,69,105,-105,585,435,757,564,654,435
4133.0,0,93,69,105,-105,585,435,757,564,654,435
4149.0,0,93,69,105,-105,585,435,757,564,654,435
4168.0,0,93,69,105,-105,585,435,757,564,654,435
4182.0,0,93,69,105,-105,585,435,757,564,654,435
4199.0,0,93,69,105,-105,585,435,757,564,654,435
4215.0,0,93,69,105,-105,585,435,757,564,654,435
4232.0,0,93,69,105,-105,585,435,757,564,654,435
4249.0,0,93,69,105,-105,585,435,757,564,654,435
