completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
887.0,0,285,462,105,105,585,645,982,633,1047,645,-65,-12
567.0,1,2,12,105,105,585,645,602,648,597,645,5,3
649.0,2,336,583,105,-105,585,435,1167,439,1168,435,-1,4
666.0,3,235,262,-105,-105,375,435,690,433,637,435,53,-2
584.0,4,73,33,-105,-105,375,435,420,434,408,435,12,-1
800.0,5,80,69,105,105,585,645,658,637,654,645,4,-8
799.0,6,183,183,-105,105,375,645,581,639,558,645,23,-6
785.0,7,225,262,-105,105,375,645,581,639,637,645,-56,-6
781.0,8,303,462,-105,105,375,645,816,648,837,645,-21,3
800.0,9,306,462,-105,105,375,645,819,648,837,645,-18,3
681.0,10,272,355,-105,-105,375,435,686,436,730,435,-44,1
884.0,11,11,12,105,-105,585,435,599,436,597,435,2,1
684.0,12,231,262,-105,-105,375,435,626,439,637,435,-11,4
669.0,13,50,33,105,-105,585,435,620,432,618,435,2,-3
718.0,14,137,119,105,-105,585,435,721,423,704,435,17,-12
632.0,15,54,33,105,-105,585,435,625,430,618,435,7,-5
666.0,16,359,583,-105,-105,375,435,988,445,958,435,30,10
833.0,17,327,583,105,105,585,645,1131,641,1168,645,-37,-4
700.0,18,162,183,105,105,585,645,782,641,768,645,14,-4
617.0,19,220,262,-105,105,375,645,643,642,637,645,6,-3
616.0,20,185,183,-105,105,375,645,543,648,558,645,-15,3
984.0,21,218,262,105,-105,585,435,815,436,847,435,-32,1
1201.0,22,22,12,-105,105,375,645,389,646,387,645,2,1
651.0,23,23,12,-105,105,375,645,392,646,387,645,5,1
785.0,24,131,119,105,-105,585,435,709,418,704,435,5,-17
651.0,25,30,12,-105,-105,375,435,386,436,387,435,-1,1
800.0,26,249,355,105,105,585,645,912,636,940,645,-28,-9
868.0,27,201,262,105,105,585,645,831,643,847,645,-16,-2
919.0,28,358,583,-105,-105,375,435,914,439,958,435,-44,4
817.0,29,29,12,-105,105,375,645,387,641,387,645,0,-4
600.0,30,82,69,105,105,585,645,659,646,654,645,5,1
668.0,31,333,583,105,-105,585,435,1122,444,1168,435,-46,9
884.0,32,32,12,-105,-105,375,435,391,437,387,435,4,2
835.0,33,33,12,-105,-105,375,435,391,436,387,435,4,1
835.0,34,34,12,-105,-105,375,435,390,433,387,435,3,-2
684.0,35,208,262,105,105,585,645,844,643,847,645,-3,-2
799.0,36,36,12,-105,-105,375,435,388,439,387,435,1,4
734.0,37,37,12,-105,-105,375,435,385,435,387,435,-2,0
730.0,38,316,462,-105,-105,375,435,746,434,837,435,-91,-1
750.0,39,15,12,105,-105,585,435,598,435,597,435,1,0
884.0,40,252,355,105,-105,585,435,866,443,940,435,-74,8
786.0,41,20,12,-105,105,375,645,389,646,387,645,2,1
766.0,42,331,583,105,-105,585,435,1137,437,1168,435,-31,2
818.0,43,197,183,-105,-105,375,435,566,443,558,435,8,8
800.0,44,71,33,-105,-105,375,435,419,435,408,435,11,0
767.0,45,52,33,105,-105,585,435,627,427,618,435,9,-8
767.0,46,269,355,-105,105,375,645,719,638,730,645,-11,-7
751.0,47,47,33,105,105,585,645,633,643,618,645,15,-2
584.0,48,24,12,-105,105,375,645,390,646,387,645,3,1
1285.0,49,21,12,-105,105,375,645,389,648,387,645,2,3
850.0,50,87,69,105,105,585,645,667,642,654,645,13,-3
733.0,51,120,119,105,105,585,645,707,641,704,645,3,-4
635.0,52,19,12,105,-105,585,435,594,438,597,435,-3,3
685.0,53,256,355,105,-105,585,435,892,443,940,435,-48,8
551.0,54,211,262,105,-105,585,435,848,436,847,435,1,1
784.0,55,55,33,105,-105,585,435,627,436,618,435,9,1
783.0,56,16,12,105,-105,585,435,601,434,597,435,4,-1
701.0,57,164,183,105,105,585,645,776,631,768,645,8,-14
816.0,58,292,462,105,-105,585,435,979,440,1047,435,-68,5
783.0,59,59,33,105,-105,585,435,616,435,618,435,-2,0
683.0,60,86,69,105,105,585,645,655,639,654,645,1,-6
1017.0,61,245,355,105,105,585,645,906,648,940,645,-34,3
733.0,62,267,355,-105,105,375,645,710,644,730,645,-20,-1
1002.0,63,251,355,105,-105,585,435,906,443,940,435,-34,8
851.0,64,305,462,-105,105,375,645,843,648,837,645,6,3
634.0,65,133,119,105,-105,585,435,711,439,704,435,7,4
618.0,66,237,262,-105,-105,375,435,639,440,637,435,2,5
865.0,67,330,583,105,-105,585,435,1120,430,1168,435,-48,-5
470.0,68,35,12,-105,-105,375,435,392,435,387,435,5,0
881.0,69,264,355,-105,105,375,645,686,637,730,645,-44,-8
600.0,70,315,462,-105,-105,375,435,861,442,837,435,24,7
718.0,71,304,462,-105,105,375,645,882,640,837,645,45,-5
517.0,72,17,12,105,-105,585,435,599,438,597,435,2,3
882.0,73,271,355,-105,-105,375,435,701,432,730,435,-29,-3
517.0,74,126,119,105,105,585,645,706,645,704,645,2,0
649.0,75,209,262,105,105,585,645,866,646,847,645,19,1
634.0,76,76,33,-105,-105,375,435,419,435,408,435,11,0
531.0,77,119,69,-105,-105,375,435,450,434,444,435,6,-1
666.0,78,219,262,105,-105,585,435,844,433,847,435,-3,-2
569.0,79,81,69,105,105,585,645,651,647,654,645,-3,2
454.0,80,13,12,105,-105,585,435,597,438,597,435,0,3
502.0,81,39,12,-105,-105,375,435,391,438,387,435,4,3
618.0,82,100,69,-105,105,375,645,459,642,444,645,15,-3
500.0,83,0,12,105,105,585,645,596,642,597,645,-1,-3
553.0,84,103,69,-105,105,375,645,460,647,444,645,16,2
683.0,85,94,69,105,-105,585,435,640,438,654,435,-14,3
1118.0,86,343,583,-105,105,375,645,866,645,958,645,-92,0
752.0,87,83,69,105,105,585,645,678,640,654,645,24,-5
419.0,88,31,12,-105,-105,375,435,391,432,387,435,4,-3
767.0,89,298,462,105,-105,585,435,1005,432,1047,435,-42,-3
816.0,90,332,583,105,-105,585,435,1242,438,1168,435,74,3
650.0,91,91,69,105,-105,585,435,661,433,654,435,7,-2
649.0,92,196,183,-105,-105,375,435,561,432,558,435,3,-3
501.0,93,51,33,105,-105,585,435,623,434,618,435,5,-1
602.0,94,192,183,-105,-105,375,435,565,427,558,435,7,-8
617.0,95,216,262,105,-105,585,435,844,426,847,435,-3,-9
482.0,96,69,33,-105,105,375,645,418,644,408,645,10,-1
483.0,97,28,12,-105,105,375,645,391,643,387,645,4,-2
933.0,98,346,583,-105,105,375,645,908,650,958,645,-50,5
750.0,99,221,262,-105,105,375,645,667,654,637,645,30,9
834.0,100,338,583,105,-105,585,435,1171,434,1168,435,3,-1
584.0,101,101,69,-105,105,375,645,442,642,444,645,-2,-3
533.0,102,41,33,105,105,585,645,633,641,618,645,15,-4
501.0,103,46,33,105,105,585,645,625,642,618,645,7,-3
534.0,104,104,69,-105,105,375,645,451,644,444,645,7,-1
465.0,105,105,69,-105,105,375,645,446,644,444,645,2,-1
538.0,106,106,69,-105,105,375,645,444,639,444,645,0,-6
535.0,107,152,119,-105,-105,375,435,492,439,494,435,-2,4
686.0,108,148,119,-105,105,375,645,488,641,494,645,-6,-4
534.0,109,167,183,105,105,585,645,765,639,768,645,-3,-6
901.0,110,352,583,-105,-105,375,435,928,432,958,435,-30,-3
600.0,111,111,69,-105,-105,375,435,456,435,444,435,12,0
969.0,112,222,262,-105,105,375,645,622,646,637,645,-15,1
638.0,113,113,69,-105,-105,375,435,461,438,444,435,17,3
851.0,114,202,262,105,105,585,645,817,642,847,645,-30,-3
665.0,115,122,119,105,105,585,645,714,649,704,645,10,4
714.0,116,127,119,105,105,585,645,726,639,704,645,22,-6
900.0,117,288,462,105,105,585,645,1031,632,1047,645,-16,-13
1382.0,118,65,33,-105,105,375,645,420,640,408,645,12,-5
667.0,119,173,183,105,-105,585,435,786,431,768,435,18,-4
1234.0,120,313,462,-105,-105,375,435,773,427,837,435,-64,-8
1185.0,121,204,262,105,105,585,645,791,641,847,645,-56,-4
417.0,122,10,12,105,-105,585,435,597,437,597,435,0,2
619.0,123,130,119,105,-105,585,435,700,435,704,435,-4,0
801.0,124,118,69,-105,-105,375,435,456,427,444,435,12,-8
850.0,125,329,583,105,105,585,645,1293,635,1168,645,125,-10
465.0,126,38,12,-105,-105,375,435,390,433,387,435,3,-2
633.0,127,217,262,105,-105,585,435,875,436,847,435,28,1
786.0,128,66,33,-105,105,375,645,395,641,408,645,-13,-4
667.0,129,193,183,-105,-105,375,435,550,435,558,435,-8,0
534.0,130,48,33,105,105,585,645,623,646,618,645,5,1
686.0,131,341,583,-105,105,375,645,953,640,958,645,-5,-5
734.0,132,206,262,105,105,585,645,835,638,847,645,-12,-7
800.0,133,174,183,105,-105,585,435,736,440,768,435,-32,5
567.0,134,170,183,105,-105,585,435,767,429,768,435,-1,-6
718.0,135,169,183,105,105,585,645,771,642,768,645,3,-3
617.0,136,154,119,-105,-105,375,435,499,431,494,435,5,-4
968.0,137,308,462,-105,105,375,645,824,638,837,645,-13,-7
603.0,138,96,69,105,-105,585,435,676,427,654,435,22,-8
619.0,139,139,119,105,-105,585,435,732,440,704,435,28,5
780.0,140,212,262,105,-105,585,435,802,426,847,435,-45,-9
601.0,141,141,119,-105,105,375,645,505,642,494,645,11,-3
769.0,142,188,183,-105,105,375,645,532,643,558,645,-26,-2
617.0,143,243,355,105,105,585,645,965,644,940,645,25,-1
702.0,144,354,583,-105,-105,375,435,899,429,958,435,-59,-6
620.0,145,145,119,-105,105,375,645,519,637,494,645,25,-8
602.0,146,146,119,-105,105,375,645,504,643,494,645,10,-2
517.0,147,61,33,-105,105,375,645,408,639,408,645,0,-6
401.0,148,25,12,-105,105,375,645,389,646,387,645,2,1
536.0,149,79,33,-105,-105,375,435,413,430,408,435,5,-5
568.0,150,150,119,-105,-105,375,435,491,433,494,435,-3,-2
603.0,151,92,69,105,-105,585,435,659,432,654,435,5,-3
552.0,152,107,69,-105,105,375,645,442,642,444,645,-2,-3
500.0,153,116,69,-105,-105,375,435,453,433,444,435,9,-2
535.0,154,102,69,-105,105,375,645,426,641,444,645,-18,-4
815.0,155,300,462,-105,105,375,645,830,655,837,645,-7,10
718.0,156,302,462,-105,105,375,645,858,635,837,645,21,-10
532.0,157,40,33,105,105,585,645,615,649,618,645,-3,4
685.0,158,213,262,105,-105,585,435,869,439,847,435,22,4
499.0,159,44,33,105,105,585,645,622,642,618,645,4,-3
685.0,160,123,119,105,105,585,645,694,640,704,645,-10,-5
749.0,161,311,462,-105,-105,375,435,815,436,837,435,-22,1
714.0,162,257,355,105,-105,585,435,1016,432,940,435,76,-3
532.0,163,4,12,105,105,585,645,601,646,597,645,4,1
600.0,164,230,262,-105,-105,375,435,627,428,637,435,-10,-7
567.0,165,63,33,-105,105,375,645,408,642,408,645,0,-3
731.0,166,138,119,105,-105,585,435,698,436,704,435,-6,1
602.0,167,228,262,-105,105,375,645,622,644,637,645,-15,-1
535.0,168,58,33,105,-105,585,435,626,431,618,435,8,-4
617.0,169,266,355,-105,105,375,645,739,637,730,645,9,-8
850.0,170,242,355,105,105,585,645,898,641,940,645,-42,-4
465.0,171,171,183,105,-105,585,435,770,432,768,435,2,-3
585.0,172,275,355,-105,-105,375,435,734,435,730,435,4,0
601.0,173,277,355,-105,-105,375,435,734,428,730,435,4,-7
484.0,174,70,33,-105,-105,375,435,410,430,408,435,2,-5
617.0,175,227,262,-105,105,375,645,601,642,637,645,-36,-3
666.0,176,263,355,-105,105,375,645,728,642,730,645,-2,-3
566.0,177,157,119,-105,-105,375,435,538,433,494,435,44,-2
666.0,178,166,183,105,105,585,645,755,645,768,645,-13,0
604.0,179,179,183,105,-105,585,435,779,426,768,435,11,-9
700.0,180,129,119,105,105,585,645,713,637,704,645,9,-8
666.0,181,181,183,-105,105,375,645,552,641,558,645,-6,-4
664.0,182,322,583,105,105,585,645,1155,645,1168,645,-13,0
483.0,183,57,33,105,-105,585,435,617,432,618,435,-1,-3
534.0,184,142,119,-105,105,375,645,496,641,494,645,2,-4
652.0,185,295,462,105,-105,585,435,1032,441,1047,435,-15,6
733.0,186,278,355,-105,-105,375,435,824,441,730,435,94,6
1152.0,187,175,183,105,-105,585,435,747,431,768,435,-21,-4
635.0,188,172,183,105,-105,585,435,778,438,768,435,10,3
752.0,189,255,355,105,-105,585,435,895,437,940,435,-45,2
816.0,190,190,183,-105,-105,375,435,581,432,558,435,23,-3
468.0,191,12,12,105,-105,585,435,600,435,597,435,3,0
685.0,192,1,12,105,105,585,645,597,640,597,645,0,-5
568.0,193,95,69,105,-105,585,435,632,436,654,435,-22,1
783.0,194,348,583,-105,105,375,645,859,648,958,645,-99,3
567.0,195,195,183,-105,-105,375,435,593,431,558,435,35,-4
734.0,196,99,69,105,-105,585,435,636,432,654,435,-18,-3
700.0,197,273,355,-105,-105,375,435,704,422,730,435,-26,-13
600.0,198,198,183,-105,-105,375,435,565,438,558,435,7,3
1019.0,199,325,583,105,105,585,645,1324,620,1168,645,156,-25
618.0,200,232,262,-105,-105,375,435,627,436,637,435,-10,1
685.0,201,353,583,-105,-105,375,435,1038,440,958,435,80,5
579.0,202,114,69,-105,-105,375,435,445,432,444,435,1,-3
667.0,203,281,462,105,105,585,645,1102,638,1047,645,55,-7
952.0,204,143,119,-105,105,375,645,510,641,494,645,16,-4
650.0,205,205,262,105,105,585,645,864,637,847,645,17,-8
501.0,206,42,33,105,105,585,645,615,649,618,645,-3,4
668.0,207,147,119,-105,105,375,645,507,638,494,645,13,-7
665.0,208,45,33,105,105,585,645,621,641,618,645,3,-4
600.0,209,75,33,-105,-105,375,435,398,434,408,435,-10,-1
750.0,210,210,262,105,-105,585,435,811,444,847,435,-36,9
934.0,211,349,583,-105,105,375,645,915,640,958,645,-43,-5
654.0,212,253,355,105,-105,585,435,928,441,940,435,-12,6
617.0,213,125,119,105,105,585,645,712,642,704,645,8,-3
783.0,214,214,262,105,-105,585,435,838,434,847,435,-9,-1
801.0,215,342,583,-105,105,375,645,918,645,958,645,-40,0
751.0,216,224,262,-105,105,375,645,683,635,637,645,46,-10
584.0,217,49,33,105,105,585,645,611,642,618,645,-7,-3
734.0,218,319,462,-105,-105,375,435,819,444,837,435,-18,9
682.0,219,236,262,-105,-105,375,435,692,430,637,435,55,-5
466.0,220,7,12,105,105,585,645,601,643,597,645,4,-2
550.0,221,8,12,105,105,585,645,602,645,597,645,5,0
566.0,222,134,119,105,-105,585,435,713,437,704,435,9,2
951.0,223,223,262,-105,105,375,645,611,642,637,645,-26,-3
566.0,224,153,119,-105,-105,375,435,512,435,494,435,18,0
633.0,225,155,119,-105,-105,375,435,509,432,494,435,15,-3
516.0,226,140,119,-105,105,375,645,490,646,494,645,-4,1
800.0,227,320,583,105,105,585,645,1182,634,1168,645,14,-11
683.0,228,247,355,105,105,585,645,952,647,940,645,12,2
517.0,229,72,33,-105,-105,375,435,406,434,408,435,-2,-1
468.0,230,64,33,-105,105,375,645,409,638,408,645,1,-7
633.0,231,274,355,-105,-105,375,435,729,448,730,435,-1,13
617.0,232,238,262,-105,-105,375,435,651,434,637,435,14,-1
699.0,233,128,119,105,105,585,645,721,645,704,645,17,0
749.0,234,74,33,-105,-105,375,435,406,435,408,435,-2,0
749.0,235,290,462,105,-105,585,435,1034,439,1047,435,-13,4
765.0,236,351,583,-105,-105,375,435,991,428,958,435,33,-7
616.0,237,233,262,-105,-105,375,435,660,436,637,435,23,1
634.0,238,200,262,105,105,585,645,815,642,847,645,-32,-3
1049.0,239,229,262,-105,105,375,645,635,643,637,645,-2,-2
747.0,240,160,183,105,105,585,645,785,636,768,645,17,-9
851.0,241,176,183,105,-105,585,435,747,432,768,435,-21,-3
769.0,242,246,355,105,105,585,645,941,637,940,645,1,-8
731.0,243,356,583,-105,-105,375,435,966,441,958,435,8,6
719.0,244,244,355,105,105,585,645,946,634,940,645,6,-11
832.0,245,314,462,-105,-105,375,435,795,441,837,435,-42,6
736.0,246,282,462,105,105,585,645,1042,636,1047,645,-5,-9
718.0,247,207,262,105,105,585,645,867,645,847,645,20,0
